GeneSymbol	GeneID	MedianTumor	MedianNormal	Log2FoldChange	adjp
AC024560.3	ENSG00000214135.8	8.060	18.290	-1.090	3.59e-74
AC025165.8	ENSG00000224713.4	0.140	1.470	-1.115	6.40e-223
AC055736.1	ENSG00000280827.1	0.000	2.310	-1.727	6.61e-11
AC066694.1	ENSG00000281204.1	6.290	0.000	2.866	5.61e-13
AC073850.6	ENSG00000229436.1	0.000	8.020	-3.173	1.26e-274
AC074289.1	ENSG00000225889.7	0.550	4.570	-1.845	3.53e-248
AC083843.1	ENSG00000259820.1	0.780	3.400	-1.306	3.60e-160
AC093110.3	ENSG00000238018.2	0.450	5.690	-2.206	0.00e+0
AC093495.4	ENSG00000228242.6	1.900	5.930	-1.257	6.94e-122
AC093850.2	ENSG00000230838.1	7.450	0.030	3.036	5.17e-180
AC097724.3	ENSG00000226833.5	0.710	4.760	-1.752	7.11e-179
AC104667.3	ENSG00000234949.2	1.920	0.350	1.113	5.81e-100
AC113188.2	ENSG00000279535.1	4.940	1.900	1.034	8.05e-44
AC116035.1	ENSG00000227260.1	0.000	1.130	-1.091	8.37e-289
AC116614.1	ENSG00000235688.2	0.000	1.120	-1.084	2.90e-119
AC129492.1	ENSG00000279152.1	0.000	1.130	-1.091	3.18e-42
AC129778.2	ENSG00000184906.9	0.010	1.100	-1.056	5.61e-203
AC132217.4	ENSG00000240801.1	15.911	83.008	-2.313	1.54e-67
AC135178.7	ENSG00000226871.1	0.000	1.170	-1.118	1.56e-233
AC138035.2	ENSG00000238035.8	2.870	8.360	-1.274	4.47e-81
AC144530.1	ENSG00000234742.1	3.520	0.680	1.428	3.20e-54
AC234582.1	ENSG00000279487.1	8.230	1.920	1.660	3.80e-26
AC239868.2	ENSG00000280874.1	60.300	8.300	2.721	1.64e-116
AC239868.3	ENSG00000281134.1	59.979	8.300	2.713	2.35e-114
ACACB	ENSG00000076555.15	3.910	79.099	-4.028	2.71e-302
ACAD11	ENSG00000240303.7	5.570	18.670	-1.582	1.18e-212
ACADL	ENSG00000115361.7	0.120	5.370	-2.508	1.22e-256
ACADS	ENSG00000122971.8	10.290	32.730	-1.579	5.37e-121
ACADVL	ENSG00000072778.19	166.964	586.504	-1.806	1.20e-163
ACAP3	ENSG00000131584.18	12.110	28.509	-1.171	2.49e-42
ACCS	ENSG00000110455.13	6.530	25.419	-1.811	1.14e-169
ACKR1	ENSG00000213088.9	9.360	148.920	-3.855	3.85e-164
ACKR3	ENSG00000144476.5	15.590	52.301	-1.684	7.65e-84
ACKR4	ENSG00000129048.6	1.440	4.260	-1.108	7.86e-58
ACO1	ENSG00000122729.18	15.380	33.751	-1.085	2.41e-105
ACOT4	ENSG00000177465.4	6.960	2.830	1.055	1.25e-51
ACOT7	ENSG00000097021.19	26.379	10.210	1.288	1.23e-124
ACP5	ENSG00000102575.10	59.059	24.390	1.242	3.29e-65
ACR	ENSG00000100312.10	0.240	1.530	-1.029	3.84e-162
ACSL1	ENSG00000151726.13	37.031	161.948	-2.099	1.24e-121
ACSL3	ENSG00000123983.13	81.148	36.511	1.131	8.87e-59
ACSL4	ENSG00000068366.19	8.380	18.670	-1.068	2.50e-67
ACSL5	ENSG00000197142.10	7.530	18.301	-1.178	8.11e-67
ACSM5	ENSG00000183549.10	0.840	7.630	-2.230	1.45e-251
ACSS2	ENSG00000131069.19	20.990	56.759	-1.393	4.16e-200
ACTA1	ENSG00000143632.14	0.570	2.420	-1.123	5.00e-16
ACTA2	ENSG00000107796.12	310.574	1006.338	-1.693	1.06e-76
ACTA2-AS1	ENSG00000180139.11	1.450	30.811	-3.699	1.10e-247
ACTG2	ENSG00000163017.13	10.520	150.664	-3.719	4.64e-82
ACTR2	ENSG00000138071.13	111.329	50.001	1.139	7.25e-91
ACTR3	ENSG00000115091.11	117.180	56.371	1.043	7.49e-57
ACVR1C	ENSG00000123612.15	0.170	3.350	-1.895	1.42e-188
ACVRL1	ENSG00000139567.12	7.970	29.339	-1.758	9.56e-197
ADAM12	ENSG00000148848.14	14.400	4.450	1.499	1.73e-44
ADAM33	ENSG00000149451.17	1.030	36.890	-4.222	0.00e+0
ADAM8	ENSG00000151651.15	7.970	2.830	1.228	5.96e-68
ADAMDEC1	ENSG00000134028.14	2.720	0.280	1.539	2.49e-65
ADAMTS1	ENSG00000154734.14	9.020	76.542	-2.952	2.57e-202
ADAMTS10	ENSG00000142303.13	3.680	21.600	-2.272	6.87e-133
ADAMTS4	ENSG00000158859.9	5.180	11.910	-1.063	5.19e-32
ADAMTS5	ENSG00000154736.5	1.370	12.220	-2.480	9.68e-285
ADAMTS9	ENSG00000163638.13	3.550	16.230	-1.921	1.55e-184
ADAMTS9-AS1	ENSG00000241158.5	0.240	4.070	-2.032	9.33e-286
ADAMTS9-AS2	ENSG00000241684.5	0.150	3.030	-1.809	0.00e+0
ADAMTSL4	ENSG00000143382.13	3.960	38.231	-2.984	3.90e-248
ADAT2	ENSG00000189007.15	2.040	5.910	-1.185	5.71e-123
ADCK2	ENSG00000133597.9	29.090	13.630	1.040	1.00e-154
ADCY3	ENSG00000138031.14	23.410	67.461	-1.488	2.42e-131
ADCY4	ENSG00000129467.13	3.840	55.989	-3.558	1.72e-298
ADCY5	ENSG00000173175.14	2.060	10.610	-1.924	7.16e-67
ADCYAP1R1	ENSG00000078549.14	0.260	3.030	-1.677	6.12e-260
ADD3	ENSG00000148700.13	18.330	59.738	-1.652	4.03e-107
ADGRA2	ENSG00000020181.17	7.680	25.810	-1.627	4.48e-116
ADGRB2	ENSG00000121753.12	7.810	2.410	1.369	8.06e-45
ADGRD1	ENSG00000111452.12	0.840	7.260	-2.166	4.19e-218
ADGRF5	ENSG00000069122.18	6.900	32.549	-2.086	2.36e-203
ADGRG3	ENSG00000182885.16	0.180	1.720	-1.205	3.19e-190
ADGRL2	ENSG00000117114.19	9.000	24.781	-1.366	8.08e-87
ADGRL3	ENSG00000150471.15	0.230	2.100	-1.334	1.28e-136
ADGRL4	ENSG00000162618.12	12.630	49.261	-1.883	7.11e-165
ADH1A	ENSG00000187758.7	0.020	1.050	-1.007	6.82e-228
ADH1B	ENSG00000196616.12	4.620	570.703	-6.669	3.50e-250
ADH1C	ENSG00000248144.5	0.460	16.130	-3.553	2.32e-310
ADH4	ENSG00000198099.8	0.020	1.220	-1.122	4.73e-203
ADHFE1	ENSG00000147576.15	3.470	21.341	-2.321	1.18e-212
ADIPOQ	ENSG00000181092.9	1.780	135.232	-5.615	5.77e-150
ADIPOR1	ENSG00000159346.12	118.578	54.288	1.113	6.89e-137
ADIRF	ENSG00000148671.13	185.863	598.952	-1.683	3.19e-58
ADIRF-AS1	ENSG00000272734.1	2.770	15.050	-2.090	3.66e-208
ADM	ENSG00000148926.9	5.980	81.809	-3.568	8.62e-197
ADM2	ENSG00000128165.8	3.640	0.570	1.563	1.34e-139
ADM5	ENSG00000224420.3	0.650	3.150	-1.331	6.61e-127
ADRA1A	ENSG00000120907.17	0.050	1.790	-1.410	1.53e-270
ADRA2A	ENSG00000150594.6	5.400	22.700	-1.889	8.18e-102
ADRA2C	ENSG00000184160.7	1.110	3.860	-1.204	1.13e-43
ADRB2	ENSG00000169252.5	0.640	8.130	-2.477	0.00e+0
AFAP1L1	ENSG00000157510.13	3.470	14.010	-1.748	2.05e-199
AFAP1L2	ENSG00000169129.14	6.330	13.820	-1.016	1.88e-30
AGAP11	ENSG00000271880.1	0.470	8.970	-2.762	0.00e+0
AGAP4	ENSG00000188234.13	5.090	11.530	-1.041	1.62e-81
AGAP6	ENSG00000204149.9	5.730	15.620	-1.304	1.48e-89
AGAP9	ENSG00000204172.11	3.350	9.790	-1.311	5.26e-98
AGER	ENSG00000204305.13	1.880	6.250	-1.332	5.25e-87
AGPAT2	ENSG00000169692.12	42.869	122.292	-1.491	2.88e-84
AGPAT9	ENSG00000138678.10	1.480	4.400	-1.123	1.31e-85
AGR2	ENSG00000106541.11	376.524	21.230	4.086	1.32e-65
AGR3	ENSG00000173467.8	232.904	11.820	4.189	1.49e-44
AGTR1	ENSG00000144891.17	1.890	21.869	-2.984	9.96e-57
AHCY	ENSG00000101444.12	122.972	54.071	1.171	2.89e-141
AHSA2	ENSG00000173209.22	17.230	65.348	-1.864	2.93e-114
AIF1L	ENSG00000126878.12	13.480	38.101	-1.433	8.57e-48
AIFM2	ENSG00000042286.14	7.250	20.859	-1.406	4.27e-138
AK5	ENSG00000154027.18	3.160	21.840	-2.457	3.01e-36
AKAP12	ENSG00000131016.16	4.620	36.201	-2.727	6.00e-210
AKAP17A	ENSG00000197976.10	15.770	33.499	-1.041	7.10e-74
AKAP2	ENSG00000241978.9	13.910	47.639	-1.706	3.28e-135
AKR1C1	ENSG00000187134.12	4.080	96.663	-4.265	2.55e-199
AKR1C2	ENSG00000151632.16	4.150	126.666	-4.632	3.80e-160
AKR1C3	ENSG00000196139.11	13.180	85.692	-2.612	1.66e-152
AKR7A3	ENSG00000162482.4	13.200	2.420	2.054	9.62e-35
AKT3	ENSG00000117020.16	5.830	16.490	-1.357	2.23e-67
AL035610.1	ENSG00000232079.6	0.140	5.000	-2.396	9.02e-306
AL158801.1	ENSG00000279392.1	4.180	0.770	1.549	2.18e-103
AL162151.3	ENSG00000234648.1	80.359	230.431	-1.508	5.34e-6
AL442127.1	ENSG00000278371.2	0.000	2.870	-1.952	8.74e-62
ALB	ENSG00000163631.16	0.630	3.470	-1.455	9.85e-24
ALCAM	ENSG00000170017.12	55.008	20.949	1.351	1.69e-39
ALDH18A1	ENSG00000059573.8	52.859	16.520	1.620	2.90e-213
ALDH1A1	ENSG00000165092.12	10.380	64.319	-2.521	1.54e-162
ALDH1A2	ENSG00000128918.14	0.880	6.650	-2.025	2.28e-226
ALDH1A3	ENSG00000184254.16	7.120	22.330	-1.523	5.42e-56
ALDH1L1	ENSG00000144908.13	0.420	13.820	-3.384	3.22e-283
ALDH2	ENSG00000111275.12	68.161	174.864	-1.346	5.87e-75
ALDH3A1	ENSG00000108602.17	0.220	2.050	-1.322	5.83e-78
ALDH3B2	ENSG00000132746.14	30.250	12.760	1.183	8.45e-24
ALDOC	ENSG00000109107.13	9.200	35.199	-1.827	1.05e-90
ALG1	ENSG00000033011.11	28.561	11.830	1.204	4.36e-177
ALOX15B	ENSG00000179593.15	1.900	4.990	-1.046	4.88e-5
ALPL	ENSG00000162551.13	6.210	23.100	-1.741	6.99e-79
ALS2CL	ENSG00000178038.16	3.190	12.900	-1.730	7.23e-171
ALX4	ENSG00000052850.5	0.170	1.940	-1.329	6.96e-95
AMACR	ENSG00000242110.7	12.760	4.810	1.244	2.99e-96
AMOTL1	ENSG00000166025.17	5.710	13.940	-1.155	3.69e-80
AMOTL2	ENSG00000114019.14	19.260	56.250	-1.499	7.57e-134
AMT	ENSG00000145020.14	3.740	22.490	-2.309	5.34e-177
AMY2B	ENSG00000240038.6	4.090	29.740	-2.594	1.57e-207
ANGPT1	ENSG00000154188.9	0.870	4.590	-1.580	4.14e-131
ANGPT4	ENSG00000101280.7	0.050	2.170	-1.594	2.80e-296
ANGPTL1	ENSG00000116194.12	0.940	16.390	-3.164	2.47e-306
ANGPTL2	ENSG00000136859.9	24.350	69.141	-1.468	2.02e-93
ANGPTL4	ENSG00000167772.11	6.210	77.772	-3.450	1.91e-169
ANGPTL7	ENSG00000171819.4	0.040	3.020	-1.951	4.76e-218
ANK2	ENSG00000145362.16	2.990	14.250	-1.934	7.33e-139
ANKDD1A	ENSG00000166839.16	1.130	4.360	-1.331	1.66e-216
ANKEF1	ENSG00000132623.15	5.490	1.820	1.203	3.45e-80
ANKRD10-IT1	ENSG00000229152.2	4.250	10.230	-1.097	7.69e-58
ANKRD22	ENSG00000152766.5	3.950	0.350	1.874	3.01e-125
ANKRD29	ENSG00000154065.16	1.750	14.280	-2.474	1.58e-205
ANKRD35	ENSG00000198483.12	0.760	4.080	-1.529	1.84e-130
ANKRD36	ENSG00000135976.16	2.900	6.860	-1.011	3.72e-99
ANKRD36B	ENSG00000196912.12	3.090	7.300	-1.021	5.26e-90
ANKRD36C	ENSG00000174501.14	1.780	4.850	-1.073	2.61e-75
ANKRD53	ENSG00000144031.11	0.390	3.480	-1.688	4.69e-315
ANKRD65	ENSG00000235098.8	4.200	10.770	-1.179	4.87e-67
ANKS6	ENSG00000165138.16	2.190	5.410	-1.007	2.27e-37
ANLN	ENSG00000011426.10	11.030	0.740	2.790	6.38e-216
ANO2	ENSG00000047617.14	0.750	3.720	-1.431	1.31e-98
ANOS1	ENSG00000011201.10	7.040	2.790	1.085	4.25e-36
ANPEP	ENSG00000166825.13	14.140	77.589	-2.376	2.50e-63
ANTXR2	ENSG00000163297.16	15.630	47.851	-1.555	9.14e-122
ANXA1	ENSG00000135046.13	102.963	467.816	-2.173	1.15e-166
ANXA3	ENSG00000138772.12	17.460	54.902	-1.598	1.90e-62
ANXA8	ENSG00000265190.6	1.920	4.960	-1.029	2.92e-5
ANXA8L1	ENSG00000264230.7	2.120	6.040	-1.174	7.50e-14
ANXA9	ENSG00000143412.9	21.621	2.750	2.593	2.91e-77
AOC2	ENSG00000131480.8	0.280	1.790	-1.124	1.85e-200
AOC3	ENSG00000131471.6	10.050	128.648	-3.552	3.46e-239
AOC4P	ENSG00000260105.6	0.080	2.260	-1.594	1.66e-286
AOX1	ENSG00000138356.13	2.020	24.739	-3.091	4.47e-204
AP000275.65	ENSG00000265590.9	8.250	1.780	1.734	1.75e-81
AP000347.2	ENSG00000272578.5	0.690	2.650	-1.111	4.56e-140
AP000349.2	ENSG00000280178.1	26.150	0.150	4.561	7.37e-163
AP000439.3	ENSG00000255774.1	1.550	0.100	1.213	4.59e-40
AP000473.5	ENSG00000228798.1	0.280	1.670	-1.061	1.54e-174
AP000892.6	ENSG00000280143.1	4.470	25.069	-2.253	1.48e-194
AP001189.4	ENSG00000236304.1	0.090	1.720	-1.319	4.63e-256
AP003391.1	ENSG00000281272.1	12.260	0.000	3.729	1.42e-33
AP004372.1	ENSG00000238117.1	1.080	0.000	1.057	6.55e-34
AP1M2	ENSG00000129354.11	93.759	19.610	2.201	3.19e-201
AP1S1	ENSG00000106367.13	64.888	25.679	1.304	5.50e-182
AP1S3	ENSG00000152056.16	3.330	0.890	1.196	2.08e-75
APBB3	ENSG00000113108.17	9.720	28.499	-1.460	1.36e-101
APCDD1	ENSG00000154856.12	7.770	37.919	-2.150	9.32e-154
APCDD1L-AS1	ENSG00000231290.5	0.410	1.870	-1.025	2.22e-36
APITD1	ENSG00000175279.21	20.959	8.650	1.186	1.08e-155
APOA1BP	ENSG00000163382.11	147.226	53.160	1.452	2.30e-229
APOBEC3B	ENSG00000179750.15	7.780	0.730	2.344	1.03e-120
APOBR	ENSG00000184730.10	4.350	1.480	1.109	4.72e-67
APOC1	ENSG00000130208.9	188.745	59.169	1.657	6.43e-66
APOC2	ENSG00000234906.8	5.400	0.550	2.046	5.31e-104
APOC4-APOC2	ENSG00000224916.8	8.220	1.080	2.148	6.24e-116
APOD	ENSG00000189058.8	133.084	1449.258	-3.435	4.53e-102
APOL3	ENSG00000128284.19	21.370	57.731	-1.393	1.98e-88
APOL4	ENSG00000100336.17	4.120	9.710	-1.065	3.65e-55
APOLD1	ENSG00000178878.12	6.640	45.670	-2.611	1.62e-185
APOO	ENSG00000184831.13	28.359	10.660	1.332	2.62e-199
AQP1	ENSG00000240583.10	53.149	277.972	-2.365	6.65e-160
AQP5	ENSG00000161798.6	0.660	3.670	-1.492	1.59e-6
AQP7	ENSG00000165269.12	0.980	80.559	-5.364	3.29e-278
AQP7P1	ENSG00000186466.5	0.000	4.980	-2.580	1.95e-292
AQP7P2	ENSG00000181997.8	0.000	1.940	-1.556	2.99e-219
AR	ENSG00000169083.15	20.790	9.060	1.115	3.67e-8
ARAP1-AS1	ENSG00000256007.1	5.400	0.420	2.172	1.59e-20
ARAP3	ENSG00000120318.15	3.740	14.580	-1.717	2.06e-224
ARF1	ENSG00000143761.13	506.212	249.932	1.015	1.35e-192
ARF3	ENSG00000134287.9	109.911	47.831	1.184	1.11e-114
ARFGEF3	ENSG00000112379.8	11.060	2.410	1.822	1.01e-70
ARGLU1	ENSG00000134884.13	39.929	139.246	-1.777	1.59e-143
ARHGAP10	ENSG00000071205.11	5.620	20.420	-1.694	1.81e-192
ARHGAP11A	ENSG00000198826.10	5.910	0.980	1.803	1.52e-126
ARHGAP20	ENSG00000137727.12	0.420	4.160	-1.861	0.00e+0
ARHGAP23	ENSG00000275832.4	7.110	17.220	-1.168	2.32e-91
ARHGAP24	ENSG00000138639.17	3.990	10.180	-1.164	4.91e-109
ARHGAP26	ENSG00000145819.15	3.930	10.360	-1.204	3.36e-77
ARHGAP39	ENSG00000147799.11	6.300	2.640	1.004	8.76e-81
ARHGAP40	ENSG00000124143.10	0.950	8.800	-2.329	3.99e-29
ARHGAP6	ENSG00000047648.21	1.000	5.480	-1.696	7.08e-197
ARHGEF1	ENSG00000076928.17	37.759	76.717	-1.004	2.77e-28
ARHGEF10	ENSG00000104728.15	7.600	17.869	-1.134	8.14e-106
ARHGEF15	ENSG00000198844.10	4.480	28.111	-2.409	1.44e-239
ARHGEF17	ENSG00000110237.3	13.750	37.951	-1.401	3.54e-96
ARHGEF25	ENSG00000240771.6	9.700	25.871	-1.328	1.67e-130
ARHGEF28	ENSG00000214944.9	5.080	11.530	-1.043	7.32e-73
ARHGEF4	ENSG00000136002.16	1.810	6.720	-1.458	3.51e-95
ARHGEF40	ENSG00000165801.9	15.060	37.650	-1.267	2.06e-154
ARHGEF7	ENSG00000102606.17	19.401	44.399	-1.154	4.16e-139
ARID5A	ENSG00000196843.15	20.250	69.031	-1.721	1.78e-102
ARID5B	ENSG00000150347.14	10.970	29.449	-1.347	3.11e-104
ARL1	ENSG00000120805.13	72.488	34.120	1.065	4.56e-94
ARL4A	ENSG00000122644.12	17.869	43.329	-1.232	6.35e-78
ARL6IP1	ENSG00000170540.14	217.684	80.682	1.421	3.62e-137
ARMC9	ENSG00000135931.17	11.310	4.450	1.176	1.02e-121
ARMCX4	ENSG00000196440.11	3.090	8.580	-1.228	3.57e-105
ARMT1	ENSG00000146476.10	38.220	12.720	1.515	2.43e-46
ARNT2	ENSG00000172379.18	9.230	1.590	1.982	1.64e-82
ARPC4-TTLL3	ENSG00000250151.9	5.240	11.530	-1.006	1.05e-78
ARRDC2	ENSG00000105643.9	15.490	40.090	-1.317	8.00e-105
ARRDC3	ENSG00000113369.8	24.739	60.748	-1.262	8.33e-54
ARSG	ENSG00000141337.12	11.190	4.920	1.042	2.39e-23
ARTN	ENSG00000117407.16	2.840	0.810	1.085	1.51e-42
ARV1	ENSG00000173409.13	31.871	13.430	1.188	5.81e-133
ASF1B	ENSG00000105011.8	15.620	0.910	3.121	2.78e-306
ASMTL-AS1	ENSG00000236017.7	1.690	10.190	-2.056	1.12e-95
ASPA	ENSG00000108381.10	0.320	3.260	-1.690	5.74e-259
ASPM	ENSG00000066279.16	4.960	0.140	2.386	2.78e-203
ASPN	ENSG00000106819.11	34.789	6.850	2.189	1.63e-58
ASS1	ENSG00000130707.17	69.608	141.336	-1.011	4.04e-31
ATAD2	ENSG00000156802.12	16.429	3.420	1.979	5.21e-132
ATAD3B	ENSG00000160072.19	6.320	17.689	-1.352	6.31e-41
ATF3	ENSG00000162772.16	18.581	90.968	-2.232	3.80e-72
ATHL1	ENSG00000142102.15	14.710	42.691	-1.476	5.52e-30
ATIC	ENSG00000138363.14	119.917	52.928	1.165	7.14e-195
ATOH8	ENSG00000168874.12	0.910	27.140	-3.881	0.00e+0
ATP1A2	ENSG00000018625.14	0.370	14.500	-3.500	4.79e-290
ATP1B1	ENSG00000143153.12	98.892	48.271	1.020	1.16e-46
ATP1B2	ENSG00000129244.8	0.720	2.930	-1.192	1.34e-164
ATP2C2	ENSG00000064270.12	7.960	3.220	1.086	1.23e-44
ATP6AP1	ENSG00000071553.16	179.096	67.949	1.385	7.86e-180
ATP6V0B	ENSG00000117410.13	196.066	83.951	1.214	5.16e-192
ATP6V0E2	ENSG00000171130.17	54.108	21.930	1.265	1.36e-89
ATP6V1A	ENSG00000114573.9	31.029	14.310	1.065	2.71e-77
ATP8B1	ENSG00000081923.10	19.650	9.000	1.046	1.12e-39
ATP8B4	ENSG00000104043.14	1.300	3.610	-1.003	4.30e-110
AUNIP	ENSG00000127423.10	2.180	0.320	1.269	1.93e-141
AURKA	ENSG00000087586.17	13.750	1.150	2.778	1.36e-225
AURKB	ENSG00000178999.12	11.920	1.030	2.670	5.18e-193
AVPI1	ENSG00000119986.6	7.250	16.490	-1.084	9.74e-102
AVPR1A	ENSG00000166148.3	1.070	4.620	-1.441	2.45e-154
AVPR2	ENSG00000126895.13	0.390	5.150	-2.146	1.09e-289
AZIN1	ENSG00000155096.13	84.091	37.340	1.150	8.14e-59
B3GALNT1	ENSG00000169255.13	13.990	6.470	1.005	2.46e-70
B4GALNT3	ENSG00000139044.10	6.520	1.560	1.555	2.80e-64
B4GALNT4	ENSG00000182272.11	18.040	5.000	1.666	1.49e-81
BAALC	ENSG00000164929.16	1.080	5.070	-1.545	1.19e-72
BAHCC1	ENSG00000266074.8	3.100	7.610	-1.070	3.28e-58
BAK1	ENSG00000030110.12	18.080	8.330	1.032	4.71e-143
BAMBI	ENSG00000095739.10	37.170	10.420	1.741	4.98e-46
BATF	ENSG00000156127.6	16.939	5.650	1.432	2.35e-55
BBOX1	ENSG00000129151.8	1.200	10.210	-2.349	1.25e-34
BCAS1	ENSG00000064787.12	8.740	1.670	1.867	5.72e-37
BCAS4	ENSG00000124243.17	19.690	3.500	2.201	4.73e-142
BCHE	ENSG00000114200.9	0.410	2.350	-1.248	1.06e-47
BCL2L2-PABPN1	ENSG00000258643.5	2.390	5.820	-1.009	4.23e-27
BCL6	ENSG00000113916.17	21.930	113.110	-2.315	4.72e-213
BCL9	ENSG00000116128.9	16.570	5.890	1.351	2.82e-95
BEGAIN	ENSG00000183092.15	0.570	2.150	-1.005	2.92e-68
BEND5	ENSG00000162373.12	3.190	8.150	-1.127	1.30e-71
BEND7	ENSG00000165626.16	4.010	12.740	-1.455	1.63e-71
BEST1	ENSG00000167995.15	1.580	4.430	-1.074	7.44e-143
BGN	ENSG00000182492.15	372.939	83.089	2.153	1.09e-147
BHMT2	ENSG00000132840.9	1.680	15.390	-2.613	3.03e-236
BICC1	ENSG00000122870.11	3.840	8.930	-1.037	1.71e-57
BIK	ENSG00000100290.2	17.340	4.150	1.832	8.45e-103
BIN1	ENSG00000136717.14	10.160	34.279	-1.660	1.11e-128
BIRC5	ENSG00000089685.14	17.170	0.710	3.409	7.46e-244
BLM	ENSG00000197299.10	4.020	0.980	1.342	5.79e-130
BLNK	ENSG00000095585.16	14.160	4.740	1.401	1.60e-105
BMP2	ENSG00000125845.6	0.410	3.520	-1.681	8.75e-199
BMP6	ENSG00000153162.8	1.060	7.810	-2.097	2.57e-207
BMPER	ENSG00000164619.8	0.250	2.400	-1.444	2.23e-128
BMPR1APS2	ENSG00000232460.4	1.780	0.280	1.119	8.12e-16
BMPR1B	ENSG00000138696.10	4.210	0.460	1.835	2.33e-45
BMX	ENSG00000102010.14	0.430	3.870	-1.768	2.03e-268
BOC	ENSG00000144857.14	7.120	37.379	-2.241	2.41e-136
BOLA2	ENSG00000183336.7	11.910	4.740	1.169	8.26e-74
BOLA2B	ENSG00000169627.7	116.686	37.090	1.627	1.60e-201
bP-21264C1.1	ENSG00000279208.1	0.240	2.430	-1.468	1.55e-237
bP-2189O9.2	ENSG00000278931.1	0.090	1.340	-1.102	1.52e-256
BPIFB1	ENSG00000125999.10	4.380	0.530	1.814	1.80e-41
BPNT1	ENSG00000162813.17	33.721	12.710	1.341	8.90e-117
BRCA1	ENSG00000012048.19	5.640	2.070	1.113	1.42e-80
BRCC3	ENSG00000185515.14	19.929	8.580	1.127	9.24e-97
