GeneSymbol	GeneID	MedianTumor	MedianNormal	Log2FoldChange	adjp
AC005519.4	ENSG00000258559.2	5.440	0.535	2.069	4.10e-87
AC005537.2	ENSG00000232006.8	0.000	1.350	-1.233	9.90e-133
AC005538.3	ENSG00000279809.1	0.920	2.900	-1.022	8.04e-9
AC005546.2	ENSG00000266897.1	1.790	0.340	1.058	5.49e-37
AC005562.1	ENSG00000214719.11	13.210	0.260	3.495	1.26e-126
AC005592.2	ENSG00000231185.6	0.000	2.540	-1.824	3.18e-162
AC005616.1	ENSG00000266893.1	0.000	4.700	-2.511	1.56e-258
AC005682.5	ENSG00000228649.8	9.870	2.510	1.631	7.56e-38
AC005776.1	ENSG00000270802.2	6.470	0.230	2.602	1.80e-57
AC005785.5	ENSG00000279203.1	5.310	0.530	2.044	1.09e-81
AC005932.1	ENSG00000269019.1	2.250	0.000	1.700	2.38e-28
AC005944.2	ENSG00000267469.1	1.890	14.040	-2.380	6.45e-19
AC006014.8	ENSG00000146722.11	7.230	0.385	2.571	2.31e-70
AC006116.19	ENSG00000267298.1	1.560	0.150	1.155	8.65e-37
AC006126.4	ENSG00000267045.1	0.000	8.165	-3.196	1.74e-98
AC006129.1	ENSG00000268355.1	1.500	0.140	1.133	3.37e-29
AC006129.2	ENSG00000268027.5	10.550	0.080	3.419	5.31e-62
AC006129.3	ENSG00000280014.1	1.270	0.000	1.183	5.67e-27
AC006262.5	ENSG00000268621.5	0.000	36.525	-5.230	0.00e+0
AC006449.2	ENSG00000279119.1	0.460	12.229	-3.180	5.14e-28
AC006486.9	ENSG00000268643.1	1.770	0.000	1.470	2.90e-14
AC006538.8	ENSG00000276097.1	1.250	0.000	1.170	2.79e-40
AC006946.12	ENSG00000235328.1	8.430	0.185	2.992	4.91e-46
AC006946.16	ENSG00000273203.1	0.030	1.285	-1.150	1.95e-39
AC006978.6	ENSG00000235859.5	21.021	5.660	1.725	1.97e-64
AC006994.1	ENSG00000231063.1	1.720	0.000	1.444	8.49e-41
AC007000.10	ENSG00000225726.1	5.540	0.675	1.965	2.95e-60
AC007036.4	ENSG00000230751.1	1.630	0.000	1.395	4.63e-30
AC007038.7	ENSG00000229127.1	4.630	0.295	2.120	6.70e-71
AC007128.1	ENSG00000229970.3	0.000	2.910	-1.967	1.17e-223
AC007191.4	ENSG00000279407.1	3.720	1.265	1.059	3.26e-32
AC007246.3	ENSG00000231312.6	3.520	13.875	-1.718	1.31e-43
AC007283.4	ENSG00000235579.1	2.370	0.000	1.753	8.79e-23
AC007292.3	ENSG00000269318.1	1.430	0.200	1.018	1.49e-49
AC007292.6	ENSG00000267980.1	2.690	0.500	1.299	7.47e-50
AC007318.5	ENSG00000172974.11	5.530	17.070	-1.468	3.64e-63
AC007386.3	ENSG00000227394.1	1.480	0.090	1.186	3.45e-35
AC007386.4	ENSG00000232613.6	1.880	0.060	1.442	4.48e-51
AC007405.4	ENSG00000234350.4	0.000	1.765	-1.467	2.25e-87
AC007405.6	ENSG00000239467.5	0.000	13.385	-3.846	8.28e-207
AC007566.10	ENSG00000244055.1	5.590	1.100	1.650	1.43e-49
AC007679.4	ENSG00000237041.1	1.100	0.000	1.070	7.99e-38
AC007787.3	ENSG00000279044.1	1.990	0.220	1.293	2.45e-25
AC007790.4	ENSG00000226205.1	2.310	0.000	1.727	1.96e-64
AC007875.2	ENSG00000231859.1	1.020	0.000	1.014	4.39e-32
AC007899.3	ENSG00000224891.1	2.260	0.000	1.705	1.91e-66
AC007906.1	ENSG00000279018.1	3.360	0.250	1.802	1.68e-62
AC007919.19	ENSG00000231384.1	1.080	0.000	1.057	1.33e-49
AC007952.5	ENSG00000228157.4	5.340	0.050	2.594	5.36e-52
AC007952.6	ENSG00000197665.7	1.160	0.030	1.068	2.27e-27
AC008065.1	ENSG00000224553.1	1.030	0.000	1.021	1.42e-35
AC008280.1	ENSG00000235937.1	1.760	0.000	1.465	5.93e-36
AC008440.5	ENSG00000232220.2	1.520	0.000	1.333	4.19e-20
AC008746.12	ENSG00000267838.2	4.780	0.580	1.871	5.08e-64
AC008746.5	ENSG00000235681.1	8.040	3.027	1.167	6.56e-18
AC008753.4	ENSG00000269564.1	1.480	0.000	1.310	4.80e-20
AC008982.2	ENSG00000269688.1	5.150	0.670	1.881	5.30e-62
AC008985.1	ENSG00000278999.1	1.570	0.010	1.347	1.02e-71
AC008993.2	ENSG00000282542.1	10.300	4.210	1.117	5.79e-35
AC009095.4	ENSG00000237718.2	4.380	0.340	2.005	7.62e-100
AC009120.3	ENSG00000239763.2	9.100	0.650	2.614	1.72e-96
AC009120.5	ENSG00000260884.1	10.280	0.480	2.930	4.60e-110
AC009120.6	ENSG00000259972.2	25.259	4.250	2.322	3.63e-93
AC009133.15	ENSG00000259952.1	3.960	0.000	2.310	1.36e-3
AC009133.17	ENSG00000260719.1	1.260	0.000	1.176	5.31e-55
AC009133.22	ENSG00000277669.1	0.000	6.987	-2.998	1.04e-43
AC009299.3	ENSG00000227403.1	1.340	0.000	1.227	2.61e-19
AC009403.2	ENSG00000216895.8	5.520	13.960	-1.198	3.39e-40
AC009495.2	ENSG00000235192.1	1.410	0.000	1.269	1.13e-26
AC009505.2	ENSG00000235522.6	1.300	0.110	1.051	2.06e-40
AC009542.2	ENSG00000231794.5	1.420	0.120	1.112	4.79e-46
AC009784.3	ENSG00000232053.6	0.000	19.450	-4.354	4.13e-261
AC009948.5	ENSG00000223960.6	55.039	12.055	2.102	2.73e-70
AC009950.1	ENSG00000280755.1	0.000	1.370	-1.245	1.18e-3
AC009950.2	ENSG00000225963.7	10.110	0.050	3.403	9.49e-90
AC010240.2	ENSG00000235253.1	5.290	0.040	2.596	4.42e-71
AC010287.1	ENSG00000279816.1	2.000	0.070	1.487	3.74e-55
AC010522.1	ENSG00000269304.1	3.640	0.000	2.214	1.19e-61
AC010525.4	ENSG00000267117.1	2.160	0.110	1.509	3.09e-56
AC010733.5	ENSG00000232713.2	8.790	0.920	2.350	2.10e-72
AC010761.13	ENSG00000265205.1	3.810	0.735	1.471	3.32e-45
AC010894.3	ENSG00000226853.2	0.630	3.760	-1.546	1.78e-68
AC010976.2	ENSG00000231731.7	6.510	1.295	1.710	4.83e-66
AC011558.5	ENSG00000279753.1	0.000	7.408	-3.072	3.15e-40
AC011742.3	ENSG00000231655.1	1.120	0.000	1.084	7.20e-38
AC011899.9	ENSG00000233038.5	4.210	0.060	2.297	1.50e-45
AC011933.2	ENSG00000228007.1	8.330	0.000	3.222	2.47e-102
AC012065.5	ENSG00000233416.1	1.040	0.000	1.029	1.72e-31
AC012146.7	ENSG00000234327.7	4.190	24.685	-2.307	3.91e-83
AC012314.19	ENSG00000224579.1	1.320	0.000	1.214	2.21e-30
AC012358.7	ENSG00000203327.2	1.740	0.240	1.144	1.22e-36
AC012358.8	ENSG00000240401.8	9.290	0.470	2.807	1.01e-100
AC012512.1	ENSG00000226539.1	0.110	4.390	-2.280	1.33e-140
AC012513.4	ENSG00000236478.2	2.230	0.030	1.649	3.14e-57
AC013429.5	ENSG00000234995.1	1.600	0.000	1.379	2.05e-50
AC013474.4	ENSG00000235128.1	4.340	0.115	2.260	1.92e-36
AC015971.2	ENSG00000228363.2	4.600	0.430	1.969	5.10e-72
AC016549.1	ENSG00000281325.1	1.570	0.000	1.362	3.66e-48
AC016629.3	ENSG00000269600.1	0.480	25.655	-4.171	4.68e-103
AC016723.4	ENSG00000235335.2	0.000	109.595	-6.789	0.00e+0
AC016735.1	ENSG00000224739.2	1.490	0.000	1.316	8.51e-13
AC016747.3	ENSG00000212978.6	5.000	0.000	2.585	1.76e-82
AC016831.7	ENSG00000233559.1	1.130	0.025	1.055	1.11e-42
AC016894.1	ENSG00000234624.2	2.670	0.000	1.876	5.15e-60
AC016912.3	ENSG00000228100.1	0.000	1.030	-1.021	1.31e-104
AC016995.3	ENSG00000231367.5	0.000	1.400	-1.263	1.85e-139
AC017002.1	ENSG00000240350.2	1.860	0.325	1.110	6.28e-28
AC017002.2	ENSG00000224959.1	2.920	0.575	1.316	5.09e-33
AC017104.2	ENSG00000233538.1	2.960	0.090	1.861	1.63e-52
AC017104.3	ENSG00000281035.1	24.450	0.000	4.670	5.16e-37
AC017116.11	ENSG00000239775.1	1.110	0.055	1.000	3.60e-21
AC018462.2	ENSG00000229839.6	1.520	0.175	1.101	6.75e-52
AC018462.3	ENSG00000242735.1	1.360	0.000	1.239	1.12e-18
AC018738.2	ENSG00000237039.1	10.790	0.730	2.769	2.28e-49
AC018766.4	ENSG00000267896.1	9.530	3.110	1.357	5.96e-40
AC018804.7	ENSG00000213225.7	0.030	4.280	-2.358	7.25e-157
AC018890.6	ENSG00000236449.1	0.320	2.115	-1.239	8.15e-58
AC019070.1	ENSG00000224007.1	1.650	0.000	1.406	9.68e-63
AC019080.1	ENSG00000237178.2	1.270	0.110	1.032	5.85e-31
AC019097.7	ENSG00000231822.1	3.320	0.170	1.885	2.39e-55
AC020550.7	ENSG00000231699.1	2.600	0.000	1.848	3.44e-15
AC020571.3	ENSG00000229056.2	0.440	4.100	-1.824	2.68e-41
AC020951.1	ENSG00000278897.1	10.950	0.000	3.579	8.14e-69
AC022182.3	ENSG00000254802.1	2.750	0.000	1.907	6.74e-47
AC023347.1	ENSG00000235774.1	0.000	1.775	-1.473	2.36e-124
AC025171.1	ENSG00000215068.7	12.480	1.990	2.173	6.13e-68
AC025918.2	ENSG00000225798.1	1.290	0.000	1.195	2.26e-36
AC026150.6	ENSG00000260784.1	2.780	0.000	1.918	3.32e-49
AC026150.8	ENSG00000260693.1	22.490	0.500	3.969	7.20e-99
AC027601.1	ENSG00000260005.6	2.010	0.420	1.084	9.69e-45
AC027612.6	ENSG00000143429.9	6.740	15.015	-1.049	9.73e-13
AC055733.1	ENSG00000280127.1	3.020	0.044	1.945	1.38e-30
AC058791.1	ENSG00000226380.7	2.440	0.130	1.606	5.93e-58
AC066692.3	ENSG00000238111.1	1.690	0.000	1.428	1.47e-55
AC068134.10	ENSG00000251485.1	2.560	0.040	1.775	1.97e-71
AC068491.2	ENSG00000229118.1	1.440	0.070	1.189	1.86e-32
AC068491.3	ENSG00000223973.2	1.290	0.050	1.125	2.17e-31
AC068522.4	ENSG00000242970.2	2.980	0.185	1.748	1.73e-58
AC069063.2	ENSG00000279380.1	1.710	0.000	1.438	1.52e-48
AC069213.4	ENSG00000227433.1	2.290	0.000	1.718	2.83e-57
AC069257.8	ENSG00000228028.2	1.510	0.185	1.083	9.26e-15
AC069277.2	ENSG00000189229.10	0.000	16.535	-4.132	1.03e-78
AC069282.6	ENSG00000225507.1	11.610	2.940	1.678	1.37e-57
AC073046.25	ENSG00000235499.1	13.430	1.850	2.340	3.04e-64
AC073052.1	ENSG00000228446.2	2.930	0.190	1.724	4.68e-71
AC073283.7	ENSG00000225187.1	2.790	0.000	1.922	3.14e-73
AC073850.6	ENSG00000229436.1	2.600	0.000	1.848	2.24e-20
AC074338.4	ENSG00000229054.1	1.080	0.000	1.057	3.89e-11
AC074367.1	ENSG00000233716.1	1.670	0.000	1.417	1.17e-64
AC078883.3	ENSG00000232788.1	1.730	0.000	1.449	2.45e-54
AC079466.1	ENSG00000266976.1	0.010	259.069	-8.008	4.52e-219
AC079781.7	ENSG00000232032.1	1.800	0.000	1.485	6.15e-13
AC079807.3	ENSG00000236549.1	8.510	0.000	3.249	1.02e-94
AC083822.2	ENSG00000226345.1	1.120	0.000	1.084	3.18e-16
AC083884.8	ENSG00000232729.7	9.030	0.140	3.137	8.60e-99
AC083900.1	ENSG00000225111.1	1.160	0.000	1.111	7.03e-44
AC084117.3	ENSG00000256006.1	1.900	0.000	1.536	1.37e-28
AC084219.3	ENSG00000267163.1	2.000	0.355	1.147	3.16e-44
AC087163.2	ENSG00000232344.2	1.870	0.050	1.451	7.56e-60
AC087294.2	ENSG00000235530.6	1.950	0.360	1.117	5.27e-44
AC090286.2	ENSG00000235672.1	1.450	0.075	1.188	2.26e-49
AC090804.1	ENSG00000230593.3	5.820	0.340	2.348	1.15e-74
AC092066.1	ENSG00000279095.1	2.680	0.800	1.032	8.14e-15
AC092171.2	ENSG00000188365.3	3.340	0.255	1.790	1.74e-58
AC092301.3	ENSG00000269148.1	3.290	0.560	1.459	2.98e-63
AC092338.5	ENSG00000230872.1	2.670	0.035	1.826	4.82e-78
AC092566.1	ENSG00000261866.1	0.000	1.005	-1.004	1.81e-17
AC092580.4	ENSG00000235576.1	1.330	0.000	1.220	2.03e-20
AC092620.2	ENSG00000241772.2	2.390	0.080	1.650	3.89e-44
AC092652.1	ENSG00000231758.2	3.530	0.000	2.180	1.75e-67
AC092798.2	ENSG00000213872.3	5.080	0.680	1.856	1.47e-37
AC092835.2	ENSG00000233757.6	1.340	0.000	1.227	2.84e-40
AC092881.1	ENSG00000279530.1	3.190	0.240	1.757	1.60e-43
AC093110.3	ENSG00000238018.2	2.270	0.480	1.144	2.30e-22
AC093162.5	ENSG00000246575.2	2.970	0.125	1.819	6.89e-61
AC093323.3	ENSG00000170846.15	6.750	35.005	-2.216	3.14e-93
AC093375.1	ENSG00000226383.5	0.000	1.450	-1.293	1.74e-94
AC093495.4	ENSG00000228242.6	9.310	2.070	1.748	4.30e-67
AC093616.4	ENSG00000234231.3	2.010	7.645	-1.522	6.62e-43
AC093620.5	ENSG00000241269.1	2.330	0.285	1.374	5.92e-38
AC093627.10	ENSG00000240859.1	6.640	0.010	2.919	2.88e-71
AC093627.9	ENSG00000242474.2	2.170	0.575	1.009	1.62e-33
AC093642.3	ENSG00000237940.3	7.130	2.570	1.187	2.64e-11
AC093690.1	ENSG00000223522.1	4.610	0.100	2.351	1.07e-87
AC093732.1	ENSG00000233845.1	2.340	0.000	1.740	1.80e-60
AC094019.4	ENSG00000236732.1	1.300	0.000	1.202	7.30e-43
AC096558.1	ENSG00000228655.6	7.370	0.000	3.065	3.51e-108
AC096559.1	ENSG00000224184.5	0.000	6.705	-2.946	1.73e-112
AC096772.6	ENSG00000244567.1	5.000	0.490	2.010	1.80e-87
AC097374.2	ENSG00000259848.8	0.020	1.265	-1.151	1.46e-131
AC097721.1	ENSG00000232915.1	1.510	0.000	1.328	1.37e-58
AC098617.1	ENSG00000233766.7	0.230	2.915	-1.670	9.11e-36
AC098973.2	ENSG00000225548.5	0.000	2.810	-1.930	1.78e-146
AC100830.3	ENSG00000259635.1	2.040	0.020	1.576	2.23e-56
AC100830.4	ENSG00000265967.1	1.780	0.110	1.325	2.08e-19
AC100830.5	ENSG00000264937.1	9.310	0.000	3.366	1.29e-77
AC104058.1	ENSG00000226410.1	1.120	0.000	1.084	2.05e-20
AC104131.1	ENSG00000213115.2	0.000	8.040	-3.176	0.00e+0
AC104389.1	ENSG00000279346.1	0.000	66.555	-6.078	2.37e-88
AC104389.2	ENSG00000279824.1	0.000	293.903	-8.204	6.34e-127
AC104389.28	ENSG00000167355.7	0.050	108.902	-6.710	2.03e-289
AC104634.3	ENSG00000231494.1	1.830	0.039	1.445	2.49e-27
AC104653.1	ENSG00000228857.2	1.600	0.170	1.152	3.30e-33
AC104809.4	ENSG00000233392.5	1.020	0.000	1.014	3.28e-12
AC107081.5	ENSG00000236498.1	2.400	0.330	1.354	1.24e-65
AC108004.3	ENSG00000241525.4	16.990	0.000	4.169	1.72e-62
AC108448.2	ENSG00000236710.1	1.790	0.000	1.480	9.07e-38
AC108488.4	ENSG00000242282.6	1.910	12.595	-2.224	3.97e-31
AC112497.1	ENSG00000279413.1	7.710	2.215	1.438	2.74e-36
AC116366.5	ENSG00000238160.1	3.860	0.385	1.811	3.96e-33
AC116366.6	ENSG00000234290.2	6.500	0.150	2.705	1.86e-76
AC121251.1	ENSG00000228171.1	2.460	0.000	1.791	9.39e-35
AC124914.3	ENSG00000231395.1	9.310	0.305	2.982	4.15e-78
AC125232.1	ENSG00000231259.4	26.469	9.740	1.355	2.91e-36
AC127904.2	ENSG00000230732.4	5.530	0.240	2.397	3.27e-97
AC130469.1	ENSG00000279396.1	6.530	0.165	2.692	2.01e-53
AC135048.13	ENSG00000261487.1	15.410	6.225	1.184	1.20e-29
AC137932.4	ENSG00000268218.1	3.700	0.695	1.471	8.65e-64
AC137932.5	ENSG00000260279.2	3.620	0.440	1.682	5.00e-48
AC137932.6	ENSG00000261253.2	2.040	0.110	1.454	4.84e-57
AC137934.1	ENSG00000260923.5	5.640	72.118	-3.461	3.79e-66
AC138744.2	ENSG00000256826.1	2.670	0.000	1.876	2.78e-39
AC139099.5	ENSG00000262094.1	0.130	1.610	-1.208	2.62e-69
AC140076.1	ENSG00000227309.1	3.520	0.000	2.176	4.00e-73
AC141586.5	ENSG00000215154.6	14.090	3.580	1.720	3.45e-68
AC142472.6	ENSG00000276728.1	2.620	0.615	1.164	2.59e-53
AC144530.1	ENSG00000234742.1	4.280	0.265	2.061	1.45e-86
AC144652.1	ENSG00000273117.1	1.250	10.075	-2.299	1.34e-126
AC156455.1	ENSG00000256546.1	0.930	12.630	-2.820	3.12e-50
AC159540.1	ENSG00000230606.10	93.182	1.160	5.446	2.53e-125
AC159540.2	ENSG00000278766.2	5.610	0.000	2.725	1.24e-68
AC239868.2	ENSG00000280874.1	0.000	27.293	-4.822	5.83e-15
AC239868.3	ENSG00000281134.1	0.000	28.068	-4.861	3.80e-16
AC241585.2	ENSG00000281571.1	3.360	0.715	1.346	1.20e-36
AC245100.1	ENSG00000280649.1	3.720	0.985	1.250	3.99e-36
ACACA	ENSG00000278540.4	20.639	43.680	-1.046	1.41e-40
ACACB	ENSG00000076555.15	8.280	1.520	1.881	1.11e-41
ACAD10	ENSG00000111271.14	38.019	12.690	1.511	4.41e-70
ACAD11	ENSG00000240303.7	17.840	6.020	1.424	4.53e-36
ACAD9	ENSG00000177646.17	25.810	11.865	1.059	3.28e-43
ACAP1	ENSG00000072818.11	92.757	5.155	3.929	7.46e-122
ACAP2	ENSG00000114331.12	56.849	19.315	1.510	2.24e-47
ACAP2-IT1	ENSG00000229325.1	5.340	0.500	2.080	1.85e-57
ACAT2	ENSG00000120437.8	15.020	160.234	-3.331	9.12e-112
ACBD5	ENSG00000107897.18	14.310	6.040	1.121	5.40e-44
ACHE	ENSG00000087085.13	0.480	2.065	-1.050	9.43e-8
ACIN1	ENSG00000100813.14	199.023	98.636	1.005	3.15e-44
ACKR3	ENSG00000144476.5	4.950	0.070	2.475	1.52e-34
ACLY	ENSG00000131473.16	54.330	144.296	-1.393	1.94e-67
ACO1	ENSG00000122729.18	8.280	17.655	-1.007	3.85e-34
ACOT11	ENSG00000162390.17	12.670	0.795	2.929	4.31e-60
ACOT13	ENSG00000112304.10	13.180	56.343	-2.016	2.80e-111
ACOT2	ENSG00000119673.14	7.240	0.135	2.860	1.02e-101
ACOT7	ENSG00000097021.19	13.850	52.585	-1.851	3.69e-44
ACOX3	ENSG00000087008.15	10.410	4.675	1.008	5.96e-42
ACP1	ENSG00000143727.15	58.541	122.934	-1.058	3.13e-68
ACP5	ENSG00000102575.10	6.440	1.670	1.478	4.93e-28
ACP6	ENSG00000162836.11	8.870	1.045	2.271	7.86e-39
ACPP	ENSG00000014257.15	8.260	0.320	2.810	2.74e-46
ACSF2	ENSG00000167107.12	21.130	7.405	1.397	2.41e-36
ACSL3	ENSG00000123983.13	19.129	83.190	-2.064	4.21e-91
ACSL5	ENSG00000197142.10	34.489	1.075	4.096	3.85e-142
ACSM3	ENSG00000005187.11	25.300	318.234	-3.602	5.47e-46
ACSS1	ENSG00000154930.14	38.569	0.160	5.092	6.44e-161
ACSS2	ENSG00000131069.19	28.839	152.022	-2.358	2.73e-70
ACTA1	ENSG00000143632.14	0.100	1.763	-1.329	1.76e-37
ACTA2	ENSG00000107796.12	16.500	2.800	2.203	9.96e-44
ACTA2-AS1	ENSG00000180139.11	1.550	0.060	1.266	9.28e-43
ACTBP8	ENSG00000220267.1	0.040	2.675	-1.821	2.35e-59
ACTG1P10	ENSG00000231340.1	3.540	0.060	2.099	5.46e-58
ACTG1P14	ENSG00000230581.2	2.750	0.155	1.699	2.21e-76
ACTG1P3	ENSG00000215388.3	4.780	0.250	2.209	1.02e-76
ACTL6A	ENSG00000136518.16	47.179	99.215	-1.057	1.49e-49
ACTR3B	ENSG00000133627.17	4.870	14.275	-1.380	6.14e-56
ACTR6	ENSG00000075089.9	14.920	67.744	-2.110	9.59e-107
ACVR2B	ENSG00000114739.13	0.750	5.970	-1.994	8.28e-57
ACY1	ENSG00000243989.7	14.760	73.178	-2.235	3.81e-84
ACY3	ENSG00000132744.7	7.310	0.000	3.055	2.11e-31
ACYP2	ENSG00000170634.12	11.420	3.725	1.394	3.79e-77
AD000092.3	ENSG00000240616.1	3.390	0.250	1.812	5.46e-73
AD000684.2	ENSG00000268947.1	2.490	0.700	1.038	2.38e-32
AD000864.6	ENSG00000280194.1	3.670	0.240	1.913	1.85e-65
AD001527.7	ENSG00000270760.1	1.640	0.000	1.401	2.54e-43
ADA	ENSG00000196839.12	55.241	8.860	2.512	2.47e-45
ADAM1A	ENSG00000229186.4	4.150	0.190	2.114	3.73e-42
ADAM28	ENSG00000042980.12	40.791	0.020	5.357	1.82e-83
