GeneSymbol	GeneID	MedianTumor	MedianNormal	Log2FoldChange	adjp
AC007292.6	ENSG00000267980.1	0.895	4.480	-1.532	7.13e-148
AC007326.1	ENSG00000279560.1	1.130	11.210	-2.519	9.32e-153
AC007566.10	ENSG00000244055.1	1.115	6.150	-1.757	5.18e-163
AC007743.1	ENSG00000233251.7	0.730	5.640	-1.940	1.45e-211
AC007952.5	ENSG00000228157.4	0.350	1.770	-1.037	5.10e-115
AC008746.12	ENSG00000267838.2	1.020	4.120	-1.342	2.34e-95
AC008746.5	ENSG00000235681.1	0.665	3.470	-1.425	3.85e-74
AC008993.2	ENSG00000282542.1	0.295	1.820	-1.123	3.55e-162
AC009065.4	ENSG00000279473.1	2.910	0.000	1.967	2.96e-136
AC009120.3	ENSG00000239763.2	0.610	3.830	-1.585	1.33e-169
AC009120.5	ENSG00000260884.1	0.430	2.360	-1.232	1.66e-147
AC009120.6	ENSG00000259972.2	5.575	28.210	-2.151	1.05e-164
AC009133.21	ENSG00000275857.1	1.025	5.160	-1.605	1.49e-69
AC009237.11	ENSG00000236431.1	1.285	5.550	-1.519	1.36e-114
AC009237.17	ENSG00000235959.1	1.535	6.190	-1.504	1.73e-53
AC009237.8	ENSG00000229689.3	1.920	6.000	-1.261	4.63e-120
AC009238.7	ENSG00000227120.1	1.535	6.200	-1.506	1.10e-54
AC009404.2	ENSG00000236255.1	0.470	1.980	-1.019	7.15e-141
AC009948.5	ENSG00000223960.6	4.715	12.590	-1.250	9.42e-160
AC010168.1	ENSG00000281457.1	15.765	34.520	-1.083	6.98e-20
AC010761.8	ENSG00000264577.1	0.600	2.380	-1.079	4.56e-138
AC010761.9	ENSG00000265474.1	0.560	4.400	-1.791	4.79e-137
AC010883.5	ENSG00000234936.1	0.820	5.320	-1.796	4.75e-181
AC010976.2	ENSG00000231731.7	0.430	3.490	-1.651	8.47e-188
AC010980.2	ENSG00000237732.9	0.210	3.690	-1.955	6.07e-144
AC011290.5	ENSG00000236015.1	0.550	3.120	-1.410	4.79e-156
AC011298.2	ENSG00000219159.4	0.020	1.370	-1.216	7.93e-96
AC011737.2	ENSG00000204196.5	35.200	16.480	1.050	2.52e-65
AC015849.19	ENSG00000270871.1	0.240	1.940	-1.245	3.34e-149
AC016722.4	ENSG00000228925.1	0.150	1.450	-1.091	3.98e-195
AC017116.11	ENSG00000239775.1	0.850	4.720	-1.629	2.94e-131
AC018462.3	ENSG00000242735.1	0.110	1.940	-1.405	1.95e-114
AC018766.4	ENSG00000267896.1	3.170	20.460	-2.364	8.67e-171
AC018766.6	ENSG00000268047.1	0.080	1.190	-1.020	1.71e-165
AC018804.7	ENSG00000213225.7	0.210	1.890	-1.256	2.75e-48
AC018816.3	ENSG00000235978.6	7.180	0.800	2.184	1.10e-145
AC024560.3	ENSG00000214135.8	5.260	34.741	-2.513	1.16e-207
AC024937.6	ENSG00000231443.2	0.410	2.090	-1.132	6.70e-136
AC026150.8	ENSG00000260693.1	1.690	5.910	-1.361	1.07e-108
AC027601.1	ENSG00000260005.6	0.160	1.600	-1.164	5.57e-198
AC034220.3	ENSG00000233006.6	3.930	13.090	-1.515	3.01e-142
AC068134.10	ENSG00000251485.1	0.600	3.990	-1.641	6.40e-190
AC068138.1	ENSG00000235070.3	0.470	7.120	-2.466	1.18e-91
AC068491.2	ENSG00000229118.1	0.765	3.110	-1.219	2.93e-58
AC073130.3	ENSG00000243243.5	0.215	2.320	-1.450	2.60e-170
AC073464.7	ENSG00000232502.1	0.110	4.040	-2.183	7.05e-161
AC073850.6	ENSG00000229436.1	0.000	2.040	-1.604	4.25e-133
AC074117.10	ENSG00000234072.1	2.250	7.630	-1.409	3.98e-160
AC074212.5	ENSG00000259605.3	12.325	27.249	-1.084	4.19e-58
AC074212.6	ENSG00000267395.5	2.210	8.040	-1.494	3.36e-140
AC078842.3	ENSG00000228031.2	0.040	1.720	-1.387	3.48e-168
AC078899.3	ENSG00000269274.1	0.080	3.000	-1.889	1.19e-168
AC079630.2	ENSG00000223914.1	18.360	0.100	4.137	1.93e-183
AC079630.4	ENSG00000225342.2	12.540	1.120	2.675	1.80e-118
AC079781.7	ENSG00000232032.1	0.000	2.300	-1.722	2.05e-27
AC079807.2	ENSG00000233230.1	1.255	3.560	-1.016	1.64e-139
AC083843.1	ENSG00000259820.1	0.720	4.780	-1.749	7.17e-173
AC083843.4	ENSG00000279518.1	0.665	2.680	-1.144	5.85e-90
AC090044.2	ENSG00000224239.1	0.285	1.890	-1.169	1.98e-87
AC092301.3	ENSG00000269148.1	0.110	1.260	-1.026	4.10e-170
AC093110.3	ENSG00000238018.2	0.260	4.980	-2.247	1.90e-207
AC093495.4	ENSG00000228242.6	3.100	14.770	-1.943	2.15e-140
AC093609.1	ENSG00000230587.1	0.060	1.980	-1.491	3.90e-225
AC093642.1	ENSG00000280119.1	0.065	1.910	-1.450	3.18e-163
AC093642.3	ENSG00000237940.3	0.750	11.880	-2.880	1.06e-205
AC093838.4	ENSG00000152117.17	6.605	28.089	-1.935	1.56e-177
AC098617.1	ENSG00000233766.7	0.680	3.400	-1.389	8.53e-122
AC099668.5	ENSG00000259970.1	0.635	3.670	-1.514	1.83e-87
AC108488.4	ENSG00000242282.6	2.190	7.930	-1.485	2.10e-180
AC114730.11	ENSG00000235351.1	0.400	5.920	-2.305	3.99e-182
AC114730.3	ENSG00000224272.2	0.160	1.330	-1.006	6.24e-74
AC116366.6	ENSG00000234290.2	0.530	3.260	-1.477	6.75e-198
AC116614.1	ENSG00000235688.2	0.070	1.160	-1.013	8.07e-112
AC129492.1	ENSG00000279152.1	0.000	1.110	-1.077	3.11e-60
AC131097.4	ENSG00000216921.7	1.940	5.380	-1.118	1.88e-16
AC132217.4	ENSG00000240801.1	4.515	23.900	-2.175	2.39e-66
AC137932.4	ENSG00000268218.1	0.225	1.540	-1.052	1.69e-176
AC137934.1	ENSG00000260923.5	2.165	7.850	-1.483	3.57e-62
AC138035.2	ENSG00000238035.8	1.930	15.500	-2.494	1.53e-183
AC139100.4	ENSG00000278000.1	0.440	2.460	-1.265	3.72e-129
AC144450.1	ENSG00000228613.1	0.000	2.800	-1.926	5.19e-133
AC156455.1	ENSG00000256546.1	0.745	3.410	-1.338	3.69e-129
AC159540.1	ENSG00000230606.10	7.980	31.860	-1.872	2.86e-100
AC239868.2	ENSG00000280874.1	15.370	4.770	1.504	3.36e-22
AC239868.3	ENSG00000281134.1	15.370	4.770	1.504	3.36e-22
AC245100.1	ENSG00000280649.1	5.305	1.960	1.091	2.59e-65
ACACB	ENSG00000076555.15	3.800	34.441	-2.884	5.80e-241
ACAD11	ENSG00000240303.7	7.345	25.141	-1.647	3.78e-161
ACADL	ENSG00000115361.7	8.890	30.290	-1.662	3.08e-120
ACADVL	ENSG00000072778.19	371.610	1139.037	-1.613	5.72e-116
ACAP3	ENSG00000131584.18	9.000	47.669	-2.283	6.48e-169
ACBD7	ENSG00000176244.6	1.685	0.270	1.080	6.31e-79
ACCS	ENSG00000110455.13	10.375	42.420	-1.932	5.31e-142
ACE2	ENSG00000130234.10	0.820	2.800	-1.062	6.86e-93
ACHE	ENSG00000087085.13	0.560	2.190	-1.032	3.38e-69
ACIN1	ENSG00000100813.14	74.434	170.780	-1.187	4.44e-125
ACKR1	ENSG00000213088.9	7.145	33.529	-2.084	7.90e-83
ACKR2	ENSG00000144648.14	0.310	2.660	-1.482	1.72e-213
ACKR3	ENSG00000144476.5	15.510	53.090	-1.712	8.29e-103
ACOT11	ENSG00000162390.17	4.085	12.270	-1.384	7.23e-103
ACOT7	ENSG00000097021.19	14.540	6.650	1.022	2.17e-83
ACP5	ENSG00000102575.10	25.360	4.880	2.164	1.63e-74
ACSF2	ENSG00000167107.12	42.430	156.834	-1.862	2.12e-142
ACSS1	ENSG00000154930.14	15.795	36.549	-1.161	4.87e-130
ACTA1	ENSG00000143632.14	0.040	3.730	-2.185	8.90e-109
ACTA2	ENSG00000107796.12	108.631	227.495	-1.060	4.52e-36
ACTA2-AS1	ENSG00000180139.11	0.335	5.020	-2.173	1.06e-137
ACTC1	ENSG00000159251.6	0.150	2.720	-1.694	1.61e-99
ACTG1	ENSG00000184009.9	2846.256	1370.987	1.053	8.14e-104
ACTG2	ENSG00000163017.13	2.550	12.740	-1.952	1.91e-76
ACVR1	ENSG00000115170.13	51.351	25.120	1.003	4.05e-60
ACVRL1	ENSG00000139567.12	10.095	32.810	-1.608	4.04e-124
AD000684.2	ENSG00000268947.1	0.420	3.450	-1.648	7.91e-202
ADA	ENSG00000196839.12	3.785	9.620	-1.150	7.79e-90
ADAM19	ENSG00000135074.15	0.930	3.160	-1.108	3.26e-67
ADAM22	ENSG00000008277.14	0.510	3.120	-1.448	3.01e-162
ADAM33	ENSG00000149451.17	0.510	24.380	-4.071	5.17e-266
ADAMTS1	ENSG00000154734.14	9.110	53.619	-2.434	3.14e-116
ADAMTS10	ENSG00000142303.13	4.940	24.170	-2.083	9.15e-110
ADAMTS13	ENSG00000160323.18	1.790	5.710	-1.266	9.96e-132
ADAMTS2	ENSG00000087116.13	1.180	6.450	-1.773	9.20e-88
ADAMTS4	ENSG00000158859.9	1.285	12.530	-2.566	2.66e-100
ADAMTS5	ENSG00000154736.5	1.145	4.690	-1.407	3.08e-103
ADAMTSL4	ENSG00000143382.13	5.165	14.240	-1.306	3.22e-64
ADAT2	ENSG00000189007.15	1.625	10.170	-2.089	5.24e-203
ADAT3	ENSG00000213638.5	1.520	4.720	-1.183	1.89e-109
ADCK5	ENSG00000173137.11	4.425	10.360	-1.066	7.52e-117
ADCY10P1	ENSG00000161912.17	0.970	10.130	-2.498	2.38e-192
ADCY3	ENSG00000138031.14	9.900	49.210	-2.204	1.17e-152
ADCY4	ENSG00000129467.13	5.560	60.459	-3.228	3.94e-191
ADCY5	ENSG00000173175.14	0.350	1.920	-1.113	3.26e-126
ADCY6	ENSG00000174233.11	12.405	36.610	-1.488	2.99e-136
ADCYAP1R1	ENSG00000078549.14	0.300	1.790	-1.102	2.95e-58
ADD3	ENSG00000148700.13	37.290	84.062	-1.152	2.23e-93
ADD3-AS1	ENSG00000203876.9	0.280	1.600	-1.022	1.95e-190
ADGRA2	ENSG00000020181.17	4.640	10.560	-1.035	3.12e-70
ADGRA3	ENSG00000152990.13	8.650	28.281	-1.601	2.16e-123
ADGRG3	ENSG00000182885.16	0.170	5.220	-2.410	8.30e-191
ADGRV1	ENSG00000164199.15	0.560	10.480	-2.879	7.26e-185
ADH1B	ENSG00000196616.12	0.355	69.821	-5.708	7.66e-279
ADH1C	ENSG00000248144.5	0.080	2.140	-1.540	1.50e-186
ADHFE1	ENSG00000147576.15	5.455	28.220	-2.178	3.06e-198
ADIRF-AS1	ENSG00000272734.1	3.995	26.119	-2.441	1.78e-144
ADK	ENSG00000156110.13	53.439	21.021	1.306	2.24e-137
ADM2	ENSG00000128165.8	3.075	8.880	-1.278	9.13e-37
ADM5	ENSG00000224420.3	0.350	1.910	-1.108	1.17e-125
ADORA1	ENSG00000163485.15	15.835	2.690	2.190	2.59e-154
ADRA2A	ENSG00000150594.6	0.840	6.470	-2.021	9.27e-120
ADTRP	ENSG00000111863.12	2.695	0.530	1.272	1.30e-60
AE000661.37	ENSG00000251002.7	2.085	0.030	1.582	2.65e-68
AEBP1	ENSG00000106624.8	40.965	120.617	-1.535	1.09e-59
AF011889.2	ENSG00000238039.1	0.330	4.350	-2.008	3.19e-146
AF127577.10	ENSG00000229047.1	18.190	5.690	1.520	1.98e-60
AF131216.5	ENSG00000255020.1	0.510	5.320	-2.065	1.52e-63
AF230666.2	ENSG00000223697.3	0.430	2.230	-1.176	7.60e-160
AFAP1L1	ENSG00000157510.13	3.770	10.870	-1.315	4.58e-93
AFG3L1P	ENSG00000223959.8	7.465	31.800	-1.954	1.54e-189
AGAP11	ENSG00000271880.1	0.430	5.790	-2.247	2.25e-195
AGAP3	ENSG00000133612.18	39.129	84.700	-1.095	2.04e-128
AGAP4	ENSG00000188234.13	4.165	20.300	-2.044	8.64e-183
AGAP5	ENSG00000172650.12	1.700	8.020	-1.740	2.65e-186
AGAP6	ENSG00000204149.9	4.900	31.150	-2.446	2.47e-173
AGAP9	ENSG00000204172.11	3.050	19.620	-2.348	6.95e-164
AGBL2	ENSG00000165923.15	1.000	3.520	-1.176	3.49e-110
AGER	ENSG00000204305.13	20.129	68.171	-1.711	5.28e-60
AGPAT4	ENSG00000026652.13	0.705	4.430	-1.671	8.93e-237
AGPAT9	ENSG00000138678.10	10.300	22.550	-1.059	1.63e-55
AGR2	ENSG00000106541.11	36.319	1.930	3.671	3.56e-142
AGR3	ENSG00000173467.8	0.380	2.590	-1.379	1.23e-47
AGT	ENSG00000135744.7	3.155	10.450	-1.462	3.29e-52
AGTR1	ENSG00000144891.17	0.445	12.090	-3.179	1.61e-190
AHI1	ENSG00000135541.20	7.945	17.310	-1.033	5.51e-109
AHNAK2	ENSG00000185567.6	12.610	2.480	1.968	1.22e-69
AHSA2	ENSG00000173209.22	19.210	135.748	-2.758	5.80e-162
AIF1L	ENSG00000126878.12	35.569	86.858	-1.265	2.86e-56
AJ011932.1	ENSG00000274248.1	0.170	1.900	-1.310	3.88e-82
AK1	ENSG00000106992.17	314.877	135.307	1.213	4.15e-125
AKAP12	ENSG00000131016.16	5.925	21.591	-1.706	1.02e-100
AKAP17A	ENSG00000197976.10	18.880	72.208	-1.881	9.08e-186
AKAP8L	ENSG00000011243.17	36.505	151.733	-2.026	1.14e-186
AKR1C1	ENSG00000187134.12	2.510	51.041	-3.890	7.25e-203
AKR1C2	ENSG00000151632.16	1.335	27.110	-3.590	8.52e-187
AKR1C3	ENSG00000196139.11	5.140	25.539	-2.112	1.96e-119
AKR1E2	ENSG00000165568.17	0.550	3.990	-1.687	3.90e-225
AL157871.2	ENSG00000259052.1	22.405	94.039	-2.022	1.61e-62
AL158801.1	ENSG00000279392.1	2.775	0.420	1.411	2.00e-96
AL442127.1	ENSG00000278371.2	0.000	16.979	-4.168	6.52e-60
ALB	ENSG00000163631.16	0.320	2.200	-1.278	3.03e-78
ALDH1A1	ENSG00000165092.12	76.749	158.924	-1.040	1.26e-40
ALDH1A3	ENSG00000184254.16	8.225	1.590	1.833	1.52e-76
ALDH1L1	ENSG00000144908.13	0.515	2.190	-1.074	2.02e-37
ALDH1L2	ENSG00000136010.13	0.430	2.160	-1.144	3.77e-122
ALDH3B1	ENSG00000006534.15	17.600	2.880	2.261	1.65e-131
ALOX12P2	ENSG00000262943.7	3.955	11.130	-1.292	3.25e-67
ALOX15B	ENSG00000179593.15	14.620	1.770	2.495	1.94e-68
ALOX5	ENSG00000012779.10	20.494	7.710	1.303	2.95e-20
ALOX5AP	ENSG00000132965.9	20.485	9.060	1.095	1.17e-21
ALS2CL	ENSG00000178038.16	23.085	82.991	-1.802	4.24e-103
AMIGO2	ENSG00000139211.6	11.650	3.960	1.351	1.92e-62
AMN	ENSG00000166126.10	0.230	2.410	-1.471	3.35e-164
AMOT	ENSG00000126016.13	7.835	3.400	1.006	1.72e-47
AMPD2	ENSG00000116337.15	15.535	48.060	-1.569	1.76e-149
AMPH	ENSG00000078053.16	0.190	1.540	-1.094	4.16e-135
AMT	ENSG00000145020.14	8.270	46.539	-2.358	8.57e-146
AMY2B	ENSG00000240038.6	11.805	72.298	-2.517	1.20e-138
ANAPC2	ENSG00000176248.8	18.280	56.422	-1.574	4.53e-188
ANAPC4	ENSG00000053900.10	11.130	26.800	-1.197	1.08e-167
ANGPTL1	ENSG00000116194.12	5.900	28.201	-2.081	6.56e-100
ANK2	ENSG00000145362.16	1.585	12.170	-2.349	1.71e-152
ANKDD1A	ENSG00000166839.16	2.295	7.550	-1.376	3.94e-167
ANKHD1	ENSG00000131503.20	37.035	75.331	-1.005	3.84e-132
ANKRA2	ENSG00000164331.9	16.560	35.351	-1.050	7.52e-111
ANKRD10	ENSG00000088448.14	43.290	116.218	-1.404	9.92e-139
ANKRD10-IT1	ENSG00000229152.2	2.845	15.780	-2.126	2.03e-148
ANKRD13B	ENSG00000198720.12	1.520	7.210	-1.704	5.89e-151
ANKRD18A	ENSG00000180071.18	0.935	4.520	-1.512	4.09e-136
ANKRD20A5P	ENSG00000186481.15	1.465	4.210	-1.080	1.83e-47
ANKRD20A8P	ENSG00000229089.6	0.040	1.080	-1.000	2.48e-134
ANKRD23	ENSG00000163126.14	1.170	4.800	-1.418	9.62e-147
ANKRD29	ENSG00000154065.16	0.550	3.740	-1.613	8.40e-169
ANKRD35	ENSG00000198483.12	0.210	1.610	-1.109	3.99e-182
ANKRD36	ENSG00000135976.16	2.110	7.410	-1.435	4.03e-136
ANKRD36B	ENSG00000196912.12	2.440	6.860	-1.192	5.23e-109
ANKRD53	ENSG00000144031.11	1.360	5.040	-1.356	2.05e-152
ANKRD9	ENSG00000156381.8	2.255	10.240	-1.788	4.69e-177
ANKS1B	ENSG00000185046.18	1.830	4.870	-1.053	2.71e-95
ANKS3	ENSG00000168096.14	10.215	26.230	-1.280	3.05e-150
ANKZF1	ENSG00000163516.13	16.120	80.532	-2.252	2.27e-177
ANO2	ENSG00000047617.14	0.440	2.590	-1.318	1.30e-121
ANO8	ENSG00000074855.10	2.800	8.000	-1.244	1.37e-106
ANO9	ENSG00000185101.12	3.395	11.170	-1.469	4.44e-108
ANPEP	ENSG00000166825.13	3.245	11.040	-1.504	6.60e-58
ANTXR1	ENSG00000169604.19	17.195	36.620	-1.048	3.56e-59
ANTXR2	ENSG00000163297.16	4.110	13.540	-1.509	8.80e-123
ANXA1	ENSG00000135046.13	1077.072	243.773	2.139	1.47e-71
ANXA2P2	ENSG00000231991.4	15.455	5.110	1.429	2.52e-53
AOC3	ENSG00000131471.6	7.365	24.560	-1.611	1.67e-94
AOX1	ENSG00000138356.13	0.605	20.510	-3.744	3.61e-219
AP000275.65	ENSG00000265590.9	5.300	1.660	1.244	4.83e-53
AP000347.2	ENSG00000272578.5	1.300	7.080	-1.813	4.35e-142
AP000347.4	ENSG00000234353.2	2.070	12.750	-2.163	1.14e-127
AP000442.1	ENSG00000255139.1	1.020	3.760	-1.237	5.22e-159
AP000473.5	ENSG00000228798.1	0.625	2.750	-1.206	7.46e-110
AP000580.1	ENSG00000219529.2	1.845	6.180	-1.336	6.14e-124
AP000866.1	ENSG00000279342.1	0.640	3.890	-1.576	2.66e-158
AP000892.6	ENSG00000280143.1	1.620	12.200	-2.333	1.15e-171
AP001062.7	ENSG00000184441.4	1.460	5.900	-1.488	1.12e-195
AP001062.8	ENSG00000241728.5	0.570	3.330	-1.464	8.12e-130
AP001189.4	ENSG00000236304.1	0.100	2.040	-1.467	2.20e-175
AP002518.1	ENSG00000280653.1	2.890	11.180	-1.647	1.47e-10
AP003391.1	ENSG00000281272.1	2.460	0.000	1.791	9.03e-5
AP006621.9	ENSG00000269915.1	0.120	1.900	-1.373	1.05e-143
AP1G2	ENSG00000213983.11	36.579	172.924	-2.210	2.75e-148
AP1M2	ENSG00000129354.11	125.739	61.900	1.011	3.92e-110
AP1S1	ENSG00000106367.13	53.434	25.479	1.040	8.44e-142
AP2A2	ENSG00000183020.13	20.970	43.060	-1.004	3.03e-150
AP4B1	ENSG00000134262.12	8.065	22.130	-1.351	2.61e-174
AP4B1-AS1	ENSG00000226167.1	0.170	1.610	-1.158	5.38e-182
APBA2	ENSG00000034053.14	1.135	3.490	-1.072	6.04e-56
APBA3	ENSG00000011132.11	10.670	22.400	-1.004	3.07e-161
APBB2	ENSG00000163697.16	16.885	34.961	-1.008	9.22e-79
APBB3	ENSG00000113108.17	15.165	76.510	-2.262	1.52e-169
APLP2	ENSG00000084234.16	1048.055	376.654	1.474	3.28e-101
APOA1	ENSG00000118137.9	0.640	3.600	-1.488	1.40e-27
APOC1	ENSG00000130208.9	200.769	30.340	2.687	3.13e-67
APOC1P1	ENSG00000214855.9	1.275	0.120	1.022	2.69e-46
APOC2	ENSG00000234906.8	2.685	0.210	1.607	5.77e-69
APOC4-APOC2	ENSG00000224916.8	3.650	0.480	1.652	4.29e-67
APOD	ENSG00000189058.8	11.075	689.974	-5.839	1.76e-232
APOE	ENSG00000130203.9	328.044	131.406	1.313	1.38e-26
APOL3	ENSG00000128284.19	10.105	43.221	-1.994	6.63e-151
AQP5	ENSG00000161798.6	7.455	1.970	1.509	4.28e-45
AQP7	ENSG00000165269.12	0.700	5.700	-1.979	5.69e-107
AR	ENSG00000169083.15	0.680	2.650	-1.119	9.89e-67
ARAP1-AS1	ENSG00000256007.1	6.685	0.000	2.942	1.01e-17
ARAP2	ENSG00000047365.11	8.750	27.851	-1.565	5.04e-158
ARAP3	ENSG00000120318.15	6.350	17.610	-1.340	9.23e-80
ARFGAP1	ENSG00000101199.12	33.195	94.732	-1.485	3.18e-167
ARGLU1	ENSG00000134884.13	42.210	211.526	-2.298	4.17e-161
ARHGAP21	ENSG00000107863.16	9.755	28.041	-1.433	4.46e-163
ARHGAP24	ENSG00000138639.17	4.895	19.390	-1.790	1.01e-71
ARHGAP26	ENSG00000145819.15	2.850	8.930	-1.367	6.47e-153
ARHGAP33	ENSG00000004777.18	2.970	29.510	-2.942	1.15e-193
ARHGAP36	ENSG00000147256.10	16.852	0.040	4.101	3.69e-87
ARHGAP4	ENSG00000089820.15	9.390	21.170	-1.093	1.19e-45
ARHGAP6	ENSG00000047648.21	9.645	22.700	-1.155	5.15e-109
ARHGAP8	ENSG00000241484.9	14.050	33.929	-1.215	1.28e-107
ARHGEF1	ENSG00000076928.17	34.380	107.031	-1.610	1.79e-144
ARHGEF10	ENSG00000104728.15	6.980	17.869	-1.242	6.48e-111
ARHGEF10L	ENSG00000074964.16	15.220	33.681	-1.096	8.45e-102
ARHGEF15	ENSG00000198844.10	6.480	15.820	-1.169	8.98e-57
ARHGEF17	ENSG00000110237.3	23.735	81.968	-1.746	2.80e-135
ARHGEF25	ENSG00000240771.6	3.595	16.330	-1.915	6.42e-141
ARHGEF28	ENSG00000214944.9	4.365	17.660	-1.798	1.23e-127
ARHGEF37	ENSG00000183111.11	0.805	2.680	-1.028	5.35e-73
ARHGEF4	ENSG00000136002.16	6.035	19.680	-1.556	1.69e-121
ARHGEF7	ENSG00000102606.17	12.635	42.979	-1.690	1.03e-173
ARID3B	ENSG00000179361.17	2.005	5.200	-1.045	3.99e-148
ARID5A	ENSG00000196843.15	9.030	23.119	-1.266	2.88e-78
ARL17A	ENSG00000185829.15	3.585	13.880	-1.698	2.63e-173
ARMC12	ENSG00000157343.8	0.180	2.220	-1.448	1.79e-181
ARMCX3	ENSG00000102401.19	95.464	42.490	1.149	2.25e-55
ARMCX4	ENSG00000196440.11	8.170	24.680	-1.486	3.59e-157
ARMCX6	ENSG00000198960.10	80.120	35.740	1.143	3.01e-91
ARPC4-TTLL3	ENSG00000250151.9	4.655	11.720	-1.170	5.36e-91
ARRDC1-AS1	ENSG00000203993.4	11.570	25.010	-1.049	4.81e-149
ARRDC4	ENSG00000140450.8	7.695	16.840	-1.037	2.34e-64
ART4	ENSG00000111339.10	0.280	3.240	-1.728	7.06e-180
ART5	ENSG00000167311.13	0.360	2.610	-1.408	3.42e-147
ASF1B	ENSG00000105011.8	4.125	0.650	1.635	6.47e-159
ASIC3	ENSG00000213199.7	0.500	7.490	-2.501	7.49e-205
ASMTL-AS1	ENSG00000236017.7	4.345	49.710	-3.246	1.16e-161
ASNS	ENSG00000070669.16	13.110	27.420	-1.010	3.87e-65
