GeneSymbol	GeneID	MedianTumor	MedianNormal	Log2FoldChange	adjp
ADAM33	ENSG00000149451.17	1.030	36.890	-4.222	1.45e-252
ADAM8	ENSG00000151651.15	7.970	2.830	1.228	1.07e-49
ADAMDEC1	ENSG00000134028.14	2.720	0.280	1.539	6.44e-43
ADAMTS1	ENSG00000154734.14	9.020	76.542	-2.952	1.38e-140
ADAMTS10	ENSG00000142303.13	3.680	21.600	-2.272	1.30e-66
ADAMTS4	ENSG00000158859.9	5.180	11.910	-1.063	7.80e-6
ADAMTS5	ENSG00000154736.5	1.370	12.220	-2.480	3.27e-240
ADAMTS9	ENSG00000163638.13	3.550	16.230	-1.921	2.73e-109
ADAMTS9-AS1	ENSG00000241158.5	0.240	4.070	-2.032	1.53e-193
ADAMTS9-AS2	ENSG00000241684.5	0.150	3.030	-1.809	4.77e-309
ADAMTSL4	ENSG00000143382.13	3.960	38.231	-2.984	1.55e-167
ADAT2	ENSG00000189007.15	2.040	5.910	-1.185	1.27e-74
ADCK2	ENSG00000133597.9	29.090	13.630	1.040	2.82e-92
ADCY3	ENSG00000138031.14	23.410	67.461	-1.488	1.17e-68
ADCY4	ENSG00000129467.13	3.840	55.989	-3.558	2.07e-202
ADCY5	ENSG00000173175.14	2.060	10.610	-1.924	2.32e-51
ADCYAP1R1	ENSG00000078549.14	0.260	3.030	-1.677	1.49e-183
ADD3	ENSG00000148700.13	18.330	59.738	-1.652	8.52e-78
ADGRA2	ENSG00000020181.17	7.680	25.810	-1.627	1.32e-83
ADGRB2	ENSG00000121753.12	7.810	2.410	1.369	4.89e-29
ADGRD1	ENSG00000111452.12	0.840	7.260	-2.166	2.00e-149
ADGRF5	ENSG00000069122.18	6.900	32.549	-2.086	6.49e-134
ADGRG3	ENSG00000182885.16	0.180	1.720	-1.205	1.37e-125
ADGRL2	ENSG00000117114.19	9.000	24.781	-1.366	2.55e-63
ADGRL3	ENSG00000150471.15	0.230	2.100	-1.334	6.01e-100
ADGRL4	ENSG00000162618.12	12.630	49.261	-1.883	1.46e-106
ADH1A	ENSG00000187758.7	0.020	1.050	-1.007	3.60e-173
ADH1B	ENSG00000196616.12	4.620	570.703	-6.669	1.67e-180
ADH1C	ENSG00000248144.5	0.460	16.130	-3.553	8.55e-236
ADH4	ENSG00000198099.8	0.020	1.220	-1.122	6.04e-155
ADHFE1	ENSG00000147576.15	3.470	21.341	-2.321	1.16e-149
ADIPOQ	ENSG00000181092.9	1.780	135.232	-5.615	8.38e-118
ADIPOR1	ENSG00000159346.12	118.578	54.288	1.113	8.87e-93
ADIRF	ENSG00000148671.13	185.863	598.952	-1.683	3.05e-35
ADIRF-AS1	ENSG00000272734.1	2.770	15.050	-2.090	9.03e-135
ADM	ENSG00000148926.9	5.980	81.809	-3.568	6.83e-128
ADM2	ENSG00000128165.8	3.640	0.570	1.563	1.63e-89
ADM5	ENSG00000224420.3	0.650	3.150	-1.331	2.45e-70
ADRA1A	ENSG00000120907.17	0.050	1.790	-1.410	4.44e-185
ADRA2A	ENSG00000150594.6	5.400	22.700	-1.889	5.24e-59
ADRA2C	ENSG00000184160.7	1.110	3.860	-1.204	6.00e-20
ADRB2	ENSG00000169252.5	0.640	8.130	-2.477	1.35e-245
AFAP1L1	ENSG00000157510.13	3.470	14.010	-1.748	2.45e-121
AFAP1L2	ENSG00000169129.14	6.330	13.820	-1.016	1.09e-25
AGAP11	ENSG00000271880.1	0.470	8.970	-2.762	9.35e-248
AGAP4	ENSG00000188234.13	5.090	11.530	-1.041	7.97e-42
AGAP6	ENSG00000204149.9	5.730	15.620	-1.304	4.63e-41
AGAP9	ENSG00000204172.11	3.350	9.790	-1.311	9.07e-52
AGER	ENSG00000204305.13	1.880	6.250	-1.332	4.10e-43
AGPAT2	ENSG00000169692.12	42.869	122.292	-1.491	5.07e-53
AGPAT9	ENSG00000138678.10	1.480	4.400	-1.123	1.01e-58
AGR2	ENSG00000106541.11	376.524	21.230	4.086	8.56e-34
AGR3	ENSG00000173467.8	232.904	11.820	4.189	2.97e-24
AGTR1	ENSG00000144891.17	1.890	21.869	-2.984	2.84e-31
AHCY	ENSG00000101444.12	122.972	54.071	1.171	1.75e-90
AHSA2	ENSG00000173209.22	17.230	65.348	-1.864	6.76e-61
AIF1L	ENSG00000126878.12	13.480	38.101	-1.433	1.03e-37
AIFM2	ENSG00000042286.14	7.250	20.859	-1.406	1.17e-92
AK5	ENSG00000154027.18	3.160	21.840	-2.457	2.36e-56
AKAP12	ENSG00000131016.16	4.620	36.201	-2.727	1.07e-141
AKAP17A	ENSG00000197976.10	15.770	33.499	-1.041	6.04e-29
AKAP2	ENSG00000241978.9	13.910	47.639	-1.706	8.14e-98
AKR1C1	ENSG00000187134.12	4.080	96.663	-4.265	7.05e-145
AKR1C2	ENSG00000151632.16	4.150	126.666	-4.632	7.76e-118
AKR1C3	ENSG00000196139.11	13.180	85.692	-2.612	5.53e-116
AKR7A3	ENSG00000162482.4	13.200	2.420	2.054	3.26e-26
AKT3	ENSG00000117020.16	5.830	16.490	-1.357	2.70e-46
AL035610.1	ENSG00000232079.6	0.140	5.000	-2.396	1.55e-261
AL158801.1	ENSG00000279392.1	4.180	0.770	1.549	2.09e-51
AL442127.1	ENSG00000278371.2	0.000	2.870	-1.952	1.63e-22
ALB	ENSG00000163631.16	0.630	3.470	-1.455	1.11e-31
ALCAM	ENSG00000170017.12	55.008	20.949	1.351	6.87e-17
ALDH18A1	ENSG00000059573.8	52.859	16.520	1.620	2.48e-134
ALDH1A1	ENSG00000165092.12	10.380	64.319	-2.521	3.00e-132
ALDH1A2	ENSG00000128918.14	0.880	6.650	-2.025	6.56e-191
ALDH1A3	ENSG00000184254.16	7.120	22.330	-1.523	1.44e-54
ALDH1L1	ENSG00000144908.13	0.420	13.820	-3.384	2.98e-218
ALDH2	ENSG00000111275.12	68.161	174.864	-1.346	9.67e-50
ALDH3A1	ENSG00000108602.17	0.220	2.050	-1.322	1.31e-52
ALDH3B2	ENSG00000132746.14	30.250	12.760	1.183	3.30e-9
ALDOC	ENSG00000109107.13	9.200	35.199	-1.827	1.15e-69
ALG1	ENSG00000033011.11	28.561	11.830	1.204	2.79e-113
ALOX15B	ENSG00000179593.15	1.900	4.990	-1.046	3.34e-4
ALPL	ENSG00000162551.13	6.210	23.100	-1.741	2.31e-80
ALS2CL	ENSG00000178038.16	3.190	12.900	-1.730	1.19e-114
ALX4	ENSG00000052850.5	0.170	1.940	-1.329	1.96e-96
AMACR	ENSG00000242110.7	12.760	4.810	1.244	1.48e-53
AMOTL1	ENSG00000166025.17	5.710	13.940	-1.155	1.10e-67
AMOTL2	ENSG00000114019.14	19.260	56.250	-1.499	1.07e-103
AMT	ENSG00000145020.14	3.740	22.490	-2.309	1.17e-113
AMY2B	ENSG00000240038.6	4.090	29.740	-2.594	1.22e-137
ANGPT1	ENSG00000154188.9	0.870	4.590	-1.580	2.34e-106
ANGPT4	ENSG00000101280.7	0.050	2.170	-1.594	2.37e-197
ANGPTL1	ENSG00000116194.12	0.940	16.390	-3.164	2.09e-222
ANGPTL2	ENSG00000136859.9	24.350	69.141	-1.468	1.28e-72
ANGPTL4	ENSG00000167772.11	6.210	77.772	-3.450	3.41e-114
ANGPTL7	ENSG00000171819.4	0.040	3.020	-1.951	7.33e-179
ANK2	ENSG00000145362.16	2.990	14.250	-1.934	2.55e-104
ANKDD1A	ENSG00000166839.16	1.130	4.360	-1.331	8.90e-156
ANKEF1	ENSG00000132623.15	5.490	1.820	1.203	3.71e-47
ANKRD10-IT1	ENSG00000229152.2	4.250	10.230	-1.097	1.45e-28
ANKRD22	ENSG00000152766.5	3.950	0.350	1.874	8.95e-81
ANKRD29	ENSG00000154065.16	1.750	14.280	-2.474	4.67e-144
ANKRD35	ENSG00000198483.12	0.760	4.080	-1.529	2.48e-104
ANKRD36	ENSG00000135976.16	2.900	6.860	-1.011	5.91e-53
ANKRD36B	ENSG00000196912.12	3.090	7.300	-1.021	2.38e-52
ANKRD36C	ENSG00000174501.14	1.780	4.850	-1.073	1.21e-57
ANKRD53	ENSG00000144031.11	0.390	3.480	-1.688	1.31e-228
ANKRD65	ENSG00000235098.8	4.200	10.770	-1.179	5.60e-62
ANKS6	ENSG00000165138.16	2.190	5.410	-1.007	1.44e-21
ANLN	ENSG00000011426.10	11.030	0.740	2.790	1.39e-162
ANO2	ENSG00000047617.14	0.750	3.720	-1.431	1.04e-49
ANOS1	ENSG00000011201.10	7.040	2.790	1.085	1.71e-13
ANPEP	ENSG00000166825.13	14.140	77.589	-2.376	3.36e-39
ANTXR2	ENSG00000163297.16	15.630	47.851	-1.555	3.85e-86
ANXA1	ENSG00000135046.13	102.963	467.816	-2.173	7.75e-139
ANXA3	ENSG00000138772.12	17.460	54.902	-1.598	1.46e-55
ANXA8	ENSG00000265190.6	1.920	4.960	-1.029	1.07e-19
ANXA8L1	ENSG00000264230.7	2.120	6.040	-1.174	5.48e-32
ANXA9	ENSG00000143412.9	21.621	2.750	2.593	1.63e-47
AOC2	ENSG00000131480.8	0.280	1.790	-1.124	3.44e-134
AOC3	ENSG00000131471.6	10.050	128.648	-3.552	1.18e-175
AOC4P	ENSG00000260105.6	0.080	2.260	-1.594	9.56e-193
AOX1	ENSG00000138356.13	2.020	24.739	-3.091	4.02e-131
AP000275.65	ENSG00000265590.9	8.250	1.780	1.734	5.25e-48
AP000347.2	ENSG00000272578.5	0.690	2.650	-1.111	1.34e-79
AP000349.2	ENSG00000280178.1	26.150	0.150	4.561	3.61e-121
AP000439.3	ENSG00000255774.1	1.550	0.100	1.213	1.43e-29
AP000473.5	ENSG00000228798.1	0.280	1.670	-1.061	1.44e-117
AP000892.6	ENSG00000280143.1	4.470	25.069	-2.253	2.99e-153
AP001189.4	ENSG00000236304.1	0.090	1.720	-1.319	8.20e-162
AP003391.1	ENSG00000281272.1	12.260	0.000	3.729	6.09e-24
AP004372.1	ENSG00000238117.1	1.080	0.000	1.057	9.60e-19
AP1M2	ENSG00000129354.11	93.759	19.610	2.201	4.05e-118
AP1S1	ENSG00000106367.13	64.888	25.679	1.304	3.21e-127
AP1S3	ENSG00000152056.16	3.330	0.890	1.196	2.05e-40
APBB3	ENSG00000113108.17	9.720	28.499	-1.460	1.40e-52
APCDD1	ENSG00000154856.12	7.770	37.919	-2.150	8.31e-119
APCDD1L-AS1	ENSG00000231290.5	0.410	1.870	-1.025	9.32e-61
APITD1	ENSG00000175279.21	20.959	8.650	1.186	3.37e-99
APOA1BP	ENSG00000163382.11	147.226	53.160	1.452	2.53e-160
APOBEC3B	ENSG00000179750.15	7.780	0.730	2.344	2.37e-80
APOBR	ENSG00000184730.10	4.350	1.480	1.109	2.69e-42
APOC1	ENSG00000130208.9	188.745	59.169	1.657	3.86e-38
APOC2	ENSG00000234906.8	5.400	0.550	2.046	2.05e-63
APOC4-APOC2	ENSG00000224916.8	8.220	1.080	2.148	1.33e-69
APOD	ENSG00000189058.8	133.084	1449.258	-3.435	6.61e-77
APOL3	ENSG00000128284.19	21.370	57.731	-1.393	3.51e-52
APOL4	ENSG00000100336.17	4.120	9.710	-1.065	3.77e-30
APOLD1	ENSG00000178878.12	6.640	45.670	-2.611	2.22e-115
APOO	ENSG00000184831.13	28.359	10.660	1.332	4.18e-130
AQP1	ENSG00000240583.10	53.149	277.972	-2.365	1.38e-116
AQP5	ENSG00000161798.6	0.660	3.670	-1.492	2.87e-13
AQP7	ENSG00000165269.12	0.980	80.559	-5.364	8.17e-208
AQP7P1	ENSG00000186466.5	0.000	4.980	-2.580	1.85e-203
AQP7P2	ENSG00000181997.8	0.000	1.940	-1.556	1.79e-140
AR	ENSG00000169083.15	20.790	9.060	1.115	4.29e-4
ARAP1-AS1	ENSG00000256007.1	5.400	0.420	2.172	2.75e-7
ARAP3	ENSG00000120318.15	3.740	14.580	-1.717	4.81e-144
ARF1	ENSG00000143761.13	506.212	249.932	1.015	6.39e-149
ARF3	ENSG00000134287.9	109.911	47.831	1.184	5.14e-69
ARFGEF3	ENSG00000112379.8	11.060	2.410	1.822	5.97e-38
ARGLU1	ENSG00000134884.13	39.929	139.246	-1.777	5.78e-85
ARHGAP10	ENSG00000071205.11	5.620	20.420	-1.694	1.27e-132
ARHGAP11A	ENSG00000198826.10	5.910	0.980	1.803	2.97e-91
ARHGAP20	ENSG00000137727.12	0.420	4.160	-1.861	1.14e-276
ARHGAP23	ENSG00000275832.4	7.110	17.220	-1.168	9.35e-61
ARHGAP24	ENSG00000138639.17	3.990	10.180	-1.164	7.39e-83
ARHGAP26	ENSG00000145819.15	3.930	10.360	-1.204	3.31e-49
ARHGAP39	ENSG00000147799.11	6.300	2.640	1.004	3.42e-59
ARHGAP40	ENSG00000124143.10	0.950	8.800	-2.329	8.67e-23
ARHGAP6	ENSG00000047648.21	1.000	5.480	-1.696	2.38e-115
ARHGEF1	ENSG00000076928.17	37.759	76.717	-1.004	6.99e-8
ARHGEF10	ENSG00000104728.15	7.600	17.869	-1.134	2.74e-74
ARHGEF15	ENSG00000198844.10	4.480	28.111	-2.409	1.50e-155
ARHGEF17	ENSG00000110237.3	13.750	37.951	-1.401	1.71e-46
ARHGEF25	ENSG00000240771.6	9.700	25.871	-1.328	3.13e-82
ARHGEF28	ENSG00000214944.9	5.080	11.530	-1.043	1.53e-71
ARHGEF4	ENSG00000136002.16	1.810	6.720	-1.458	5.57e-82
ARHGEF40	ENSG00000165801.9	15.060	37.650	-1.267	1.62e-114
ARHGEF7	ENSG00000102606.17	19.401	44.399	-1.154	8.02e-77
ARID5A	ENSG00000196843.15	20.250	69.031	-1.721	9.03e-75
ARID5B	ENSG00000150347.14	10.970	29.449	-1.347	1.00e-87
ARL1	ENSG00000120805.13	72.488	34.120	1.065	3.03e-54
ARL4A	ENSG00000122644.12	17.869	43.329	-1.232	9.17e-72
ARL6IP1	ENSG00000170540.14	217.684	80.682	1.421	2.62e-90
ARMC9	ENSG00000135931.17	11.310	4.450	1.176	2.94e-72
ARMCX4	ENSG00000196440.11	3.090	8.580	-1.228	7.29e-65
ARMT1	ENSG00000146476.10	38.220	12.720	1.515	4.69e-25
ARNT2	ENSG00000172379.18	9.230	1.590	1.982	2.14e-52
ARPC4-TTLL3	ENSG00000250151.9	5.240	11.530	-1.006	2.25e-41
ARRDC2	ENSG00000105643.9	15.490	40.090	-1.317	4.60e-56
ARRDC3	ENSG00000113369.8	24.739	60.748	-1.262	7.85e-54
ARSG	ENSG00000141337.12	11.190	4.920	1.042	1.20e-15
ARTN	ENSG00000117407.16	2.840	0.810	1.085	3.29e-40
ARV1	ENSG00000173409.13	31.871	13.430	1.188	1.86e-78
ASF1B	ENSG00000105011.8	15.620	0.910	3.121	9.93e-232
ASMTL-AS1	ENSG00000236017.7	1.690	10.190	-2.056	1.04e-44
ASPA	ENSG00000108381.10	0.320	3.260	-1.690	2.70e-199
ASPM	ENSG00000066279.16	4.960	0.140	2.386	5.61e-154
ASPN	ENSG00000106819.11	34.789	6.850	2.189	4.16e-39
ASS1	ENSG00000130707.17	69.608	141.336	-1.011	1.13e-24
ATAD2	ENSG00000156802.12	16.429	3.420	1.979	2.06e-96
ATAD3B	ENSG00000160072.19	6.320	17.689	-1.352	9.51e-13
ATF3	ENSG00000162772.16	18.581	90.968	-2.232	4.42e-58
ATHL1	ENSG00000142102.15	14.710	42.691	-1.476	1.28e-12
ATIC	ENSG00000138363.14	119.917	52.928	1.165	5.26e-138
ATOH8	ENSG00000168874.12	0.910	27.140	-3.881	8.65e-276
ATP1A2	ENSG00000018625.14	0.370	14.500	-3.500	4.34e-204
ATP1B1	ENSG00000143153.12	98.892	48.271	1.020	6.48e-12
ATP1B2	ENSG00000129244.8	0.720	2.930	-1.192	1.41e-104
ATP2C2	ENSG00000064270.12	7.960	3.220	1.086	2.32e-25
ATP6AP1	ENSG00000071553.16	179.096	67.949	1.385	2.70e-124
ATP6V0B	ENSG00000117410.13	196.066	83.951	1.214	1.36e-144
ATP6V0E2	ENSG00000171130.17	54.108	21.930	1.265	3.02e-50
ATP6V1A	ENSG00000114573.9	31.029	14.310	1.065	1.17e-36
ATP8B1	ENSG00000081923.10	19.650	9.000	1.046	1.55e-23
ATP8B4	ENSG00000104043.14	1.300	3.610	-1.003	3.14e-85
AUNIP	ENSG00000127423.10	2.180	0.320	1.269	1.70e-102
AURKA	ENSG00000087586.17	13.750	1.150	2.778	7.11e-174
AURKB	ENSG00000178999.12	11.920	1.030	2.670	5.92e-145
AVPI1	ENSG00000119986.6	7.250	16.490	-1.084	7.80e-79
AVPR1A	ENSG00000166148.3	1.070	4.620	-1.441	1.06e-85
AVPR2	ENSG00000126895.13	0.390	5.150	-2.146	5.90e-210
AZIN1	ENSG00000155096.13	84.091	37.340	1.150	2.50e-34
B3GALNT1	ENSG00000169255.13	13.990	6.470	1.005	2.50e-41
B4GALNT3	ENSG00000139044.10	6.520	1.560	1.555	2.70e-30
B4GALNT4	ENSG00000182272.11	18.040	5.000	1.666	8.66e-49
BAALC	ENSG00000164929.16	1.080	5.070	-1.545	6.49e-46
BAHCC1	ENSG00000266074.8	3.100	7.610	-1.070	2.94e-31
BAK1	ENSG00000030110.12	18.080	8.330	1.032	2.51e-97
BAMBI	ENSG00000095739.10	37.170	10.420	1.741	9.53e-20
BATF	ENSG00000156127.6	16.939	5.650	1.432	7.37e-36
BBOX1	ENSG00000129151.8	1.200	10.210	-2.349	9.29e-60
BCAS1	ENSG00000064787.12	8.740	1.670	1.867	2.99e-31
BCAS4	ENSG00000124243.17	19.690	3.500	2.201	3.14e-108
BCHE	ENSG00000114200.9	0.410	2.350	-1.248	4.13e-34
BCL2L2-PABPN1	ENSG00000258643.5	2.390	5.820	-1.009	2.31e-18
BCL6	ENSG00000113916.17	21.930	113.110	-2.315	1.46e-132
BCL9	ENSG00000116128.9	16.570	5.890	1.351	8.05e-60
BEGAIN	ENSG00000183092.15	0.570	2.150	-1.005	9.68e-55
BEND5	ENSG00000162373.12	3.190	8.150	-1.127	3.04e-57
BEND7	ENSG00000165626.16	4.010	12.740	-1.455	5.08e-47
BEST1	ENSG00000167995.15	1.580	4.430	-1.074	1.76e-83
BGN	ENSG00000182492.15	372.939	83.089	2.153	1.31e-117
BHMT2	ENSG00000132840.9	1.680	15.390	-2.613	1.27e-169
BICC1	ENSG00000122870.11	3.840	8.930	-1.037	3.31e-45
BIK	ENSG00000100290.2	17.340	4.150	1.832	2.80e-62
BIN1	ENSG00000136717.14	10.160	34.279	-1.660	4.97e-88
BIRC5	ENSG00000089685.14	17.170	0.710	3.409	1.26e-186
BLM	ENSG00000197299.10	4.020	0.980	1.342	1.69e-97
BLNK	ENSG00000095585.16	14.160	4.740	1.401	5.70e-51
BMP2	ENSG00000125845.6	0.410	3.520	-1.681	6.21e-138
BMP6	ENSG00000153162.8	1.060	7.810	-2.097	5.17e-145
BMPER	ENSG00000164619.8	0.250	2.400	-1.444	2.56e-97
BMPR1APS2	ENSG00000232460.4	1.780	0.280	1.119	2.78e-3
BMPR1B	ENSG00000138696.10	4.210	0.460	1.835	3.47e-28
BMX	ENSG00000102010.14	0.430	3.870	-1.768	1.20e-198
BOC	ENSG00000144857.14	7.120	37.379	-2.241	1.65e-106
BOLA2	ENSG00000183336.7	11.910	4.740	1.169	5.93e-58
BOLA2B	ENSG00000169627.7	116.686	37.090	1.627	2.59e-143
bP-21264C1.1	ENSG00000279208.1	0.240	2.430	-1.468	2.60e-157
bP-2189O9.2	ENSG00000278931.1	0.090	1.340	-1.102	6.65e-170
BPIFB1	ENSG00000125999.10	4.380	0.530	1.814	4.99e-24
BPNT1	ENSG00000162813.17	33.721	12.710	1.341	6.79e-67
BRCA1	ENSG00000012048.19	5.640	2.070	1.113	1.75e-50
BRCC3	ENSG00000185515.14	19.929	8.580	1.127	3.63e-54
BRI3BP	ENSG00000184992.10	8.250	1.860	1.693	8.53e-94
