GeneSymbol	GeneID	MedianTumor	MedianNormal	Log2FoldChange	adjp
ADAMDEC1	ENSG00000134028.14	5.310	0.520	2.054	4.60e-59
ADAMTS1	ENSG00000154734.14	9.300	24.580	-1.312	3.07e-28
ADAMTS12	ENSG00000151388.10	3.300	0.340	1.682	7.58e-61
ADAMTS13	ENSG00000160323.18	0.750	3.570	-1.385	5.72e-81
ADAMTS15	ENSG00000166106.3	0.675	2.650	-1.124	3.81e-39
ADAMTS2	ENSG00000087116.13	11.000	4.200	1.207	1.44e-24
ADAMTSL4	ENSG00000143382.13	6.665	14.600	-1.025	1.17e-30
ADAMTSL5	ENSG00000185761.10	5.085	0.980	1.620	1.12e-47
ADAP1	ENSG00000105963.13	46.838	12.190	1.859	5.00e-73
ADAP2	ENSG00000184060.10	6.660	2.110	1.300	2.99e-60
ADAR	ENSG00000160710.15	83.026	32.511	1.326	2.18e-65
ADAT1	ENSG00000065457.10	21.860	9.350	1.143	3.07e-88
ADAT3	ENSG00000213638.5	6.995	2.950	1.017	3.03e-44
ADCK3	ENSG00000163050.16	24.550	53.988	-1.106	5.63e-30
ADCY4	ENSG00000129467.13	4.435	12.020	-1.260	1.67e-44
ADCY6	ENSG00000174233.11	12.080	26.640	-1.079	2.65e-30
ADCY7	ENSG00000121281.12	7.795	2.780	1.218	7.28e-46
ADGRD1	ENSG00000111452.12	2.090	12.300	-2.106	5.08e-49
ADGRE2	ENSG00000127507.17	2.475	0.730	1.006	3.32e-43
ADGRE5	ENSG00000123146.19	58.712	24.070	1.252	1.40e-51
ADGRG1	ENSG00000205336.11	69.125	31.321	1.117	4.93e-41
ADGRG2	ENSG00000173698.17	0.210	1.470	-1.030	1.22e-34
ADGRG6	ENSG00000112414.14	9.315	3.680	1.140	2.67e-19
ADGRG7	ENSG00000144820.7	2.025	0.020	1.568	1.71e-40
ADH1B	ENSG00000196616.12	2.450	49.090	-3.860	1.27e-77
ADH1C	ENSG00000248144.5	15.155	43.971	-1.477	3.79e-6
ADH6	ENSG00000172955.17	1.910	0.190	1.290	7.76e-32
ADH7	ENSG00000196344.11	0.010	1.520	-1.319	1.29e-36
ADHFE1	ENSG00000147576.15	0.890	27.249	-3.902	6.85e-169
ADIRF-AS1	ENSG00000272734.1	1.035	4.920	-1.541	5.14e-75
ADK	ENSG00000156110.13	21.125	7.540	1.373	8.97e-80
ADM	ENSG00000148926.9	8.525	18.510	-1.034	1.59e-21
ADNP	ENSG00000101126.15	30.715	14.190	1.062	1.31e-54
ADO	ENSG00000181915.4	10.955	3.640	1.365	4.18e-101
ADORA2B	ENSG00000170425.3	2.805	0.490	1.353	4.53e-43
ADRA2A	ENSG00000150594.6	5.330	1.010	1.655	8.82e-25
ADRM1	ENSG00000130706.12	101.969	42.890	1.230	2.56e-67
ADSSL1	ENSG00000185100.10	2.685	8.390	-1.349	4.97e-29
AEBP2	ENSG00000139154.14	15.250	5.570	1.307	7.55e-57
AFAP1	ENSG00000196526.10	10.940	3.170	1.518	5.44e-46
AFAP1-AS1	ENSG00000272620.1	1.190	0.040	1.074	7.95e-32
AFF3	ENSG00000144218.18	0.610	2.950	-1.295	2.39e-39
AGAP1	ENSG00000157985.17	12.245	4.350	1.308	5.33e-61
AGAP11	ENSG00000271880.1	0.170	1.420	-1.048	2.32e-73
AGAP2-AS1	ENSG00000255737.2	7.040	2.260	1.302	2.11e-62
AGAP6	ENSG00000204149.9	4.985	11.640	-1.079	1.55e-28
AGAP9	ENSG00000204172.11	3.650	10.110	-1.257	1.59e-33
AGER	ENSG00000204305.13	1.850	5.450	-1.178	3.96e-53
AGFG1	ENSG00000173744.17	43.674	19.100	1.152	6.55e-63
AGGF1	ENSG00000164252.12	10.630	4.730	1.021	1.76e-72
AGMAT	ENSG00000116771.5	9.180	0.190	3.097	1.82e-131
AGO1	ENSG00000092847.10	9.290	3.050	1.345	2.73e-70
AGO2	ENSG00000123908.11	13.245	4.160	1.465	6.48e-67
AGO3	ENSG00000126070.18	6.225	2.150	1.198	8.21e-73
AGPAT2	ENSG00000169692.12	96.864	31.939	1.571	2.42e-64
AGPAT5	ENSG00000155189.11	12.495	4.550	1.282	7.11e-71
AGPS	ENSG00000018510.12	10.250	3.010	1.488	1.01e-113
AGR2	ENSG00000106541.11	976.854	231.167	2.074	1.49e-34
AGR3	ENSG00000173467.8	75.285	6.700	3.308	2.02e-45
AGRN	ENSG00000188157.13	60.170	14.900	1.944	6.84e-91
AGT	ENSG00000135744.7	14.485	2.450	2.166	7.13e-48
AHCY	ENSG00000101444.12	114.463	48.130	1.233	4.69e-71
AHR	ENSG00000106546.12	42.654	8.710	2.169	3.00e-111
AHSA2	ENSG00000173209.22	13.880	47.851	-1.715	2.40e-40
AIDA	ENSG00000186063.12	33.375	13.510	1.244	2.63e-49
AIF1	ENSG00000204472.12	35.094	11.270	1.557	5.61e-45
AIG1	ENSG00000146416.16	27.465	12.770	1.048	8.08e-39
AIM1	ENSG00000112297.14	10.080	1.610	2.086	4.97e-57
AIM1L	ENSG00000176092.13	5.325	0.350	2.228	1.78e-64
AIMP2	ENSG00000106305.9	28.605	9.950	1.435	1.10e-93
AJUBA	ENSG00000129474.15	9.530	2.500	1.589	7.17e-64
AKAP8L	ENSG00000011243.17	22.020	45.870	-1.026	5.71e-38
AKR1B10	ENSG00000198074.9	29.075	186.275	-2.639	2.32e-10
AKR1C1	ENSG00000187134.12	12.820	89.102	-2.705	4.93e-55
AKR1C2	ENSG00000151632.16	6.240	38.239	-2.438	3.14e-41
AKR7A3	ENSG00000162482.4	29.966	116.411	-1.923	1.03e-4
AKR7L	ENSG00000211454.13	3.340	12.500	-1.637	1.72e-12
AL109927.1	ENSG00000278868.1	2.800	0.260	1.593	2.91e-6
AL162151.3	ENSG00000234648.1	0.000	152.355	-7.261	4.92e-118
AL442127.1	ENSG00000278371.2	0.000	18.000	-4.248	1.16e-53
AL589743.1	ENSG00000279508.1	1.835	0.210	1.228	5.89e-51
AL928768.3	ENSG00000253701.2	2.540	6.140	-1.012	6.36e-6
ALB	ENSG00000163631.16	0.160	3.000	-1.786	3.82e-19
ALDH18A1	ENSG00000059573.8	45.741	17.140	1.365	9.62e-82
ALDH1A1	ENSG00000165092.12	82.138	189.229	-1.194	9.51e-12
ALDH1B1	ENSG00000137124.6	22.300	7.450	1.463	1.83e-19
ALDH1L1	ENSG00000144908.13	0.490	3.070	-1.450	2.70e-32
ALDH3A1	ENSG00000108602.17	12.570	67.241	-2.330	1.98e-10
ALDH3B1	ENSG00000006534.15	17.495	7.430	1.133	2.23e-30
ALDH5A1	ENSG00000112294.12	7.410	2.340	1.332	7.47e-50
ALG1L	ENSG00000189366.9	2.310	0.620	1.031	2.71e-30
ALG3	ENSG00000214160.9	78.547	22.941	1.732	7.78e-130
ALG8	ENSG00000159063.12	32.250	12.540	1.296	2.74e-97
ALOX5AP	ENSG00000132965.9	26.095	11.590	1.106	1.25e-28
ALYREF	ENSG00000183684.7	57.185	24.989	1.163	3.79e-74
AMMECR1	ENSG00000101935.9	5.905	1.560	1.431	1.55e-108
AMN	ENSG00000166126.10	27.655	5.710	2.094	1.48e-42
AMOT	ENSG00000126016.13	5.220	1.190	1.506	6.47e-49
AMT	ENSG00000145020.14	4.660	20.690	-1.938	1.27e-81
AMY2B	ENSG00000240038.6	2.000	11.150	-2.018	1.29e-65
ANAPC1	ENSG00000153107.11	13.480	5.200	1.224	9.65e-81
ANGPT2	ENSG00000091879.13	3.580	0.740	1.396	1.81e-58
ANGPTL1	ENSG00000116194.12	0.780	3.830	-1.440	2.92e-23
ANGPTL2	ENSG00000136859.9	21.640	6.760	1.545	3.38e-10
ANGPTL4	ENSG00000167772.11	3.915	8.830	-1.000	3.00e-11
ANKEF1	ENSG00000132623.15	4.475	1.210	1.309	8.69e-94
ANKH	ENSG00000154122.12	26.726	8.600	1.530	1.14e-53
ANKIB1	ENSG00000001629.9	15.140	6.210	1.163	2.72e-50
ANKRD12	ENSG00000101745.15	14.525	5.970	1.155	8.53e-55
ANKRD65	ENSG00000235098.8	1.880	5.410	-1.154	3.34e-23
ANKS4B	ENSG00000175311.6	5.095	0.080	2.497	8.61e-88
ANKZF1	ENSG00000163516.13	16.731	36.811	-1.093	6.65e-29
ANLN	ENSG00000011426.10	21.940	1.050	3.484	7.89e-152
ANO1	ENSG00000131620.17	36.540	10.150	1.751	7.84e-34
ANO6	ENSG00000177119.15	19.955	6.230	1.535	4.20e-36
ANO7	ENSG00000146205.13	2.360	8.050	-1.429	5.25e-20
ANOS1	ENSG00000011201.10	2.480	0.400	1.314	2.41e-59
ANP32E	ENSG00000143401.14	27.455	6.520	1.920	1.32e-111
ANPEP	ENSG00000166825.13	21.739	3.900	2.214	3.94e-27
ANTXR1	ENSG00000169604.19	28.445	6.240	2.024	2.54e-42
ANXA10	ENSG00000109511.10	14.120	116.791	-2.962	1.10e-8
ANXA11	ENSG00000122359.17	268.950	114.960	1.219	2.10e-68
ANXA13	ENSG00000104537.16	7.950	0.260	2.828	1.15e-47
ANXA2	ENSG00000182718.16	839.274	206.814	2.016	1.17e-72
ANXA2P2	ENSG00000231991.4	12.450	2.300	2.027	4.42e-84
ANXA4	ENSG00000196975.14	179.562	43.730	2.013	4.64e-80
ANXA9	ENSG00000143412.9	3.265	0.980	1.107	1.56e-36
AOC1	ENSG00000002726.19	53.934	0.480	5.214	3.00e-111
AOX1	ENSG00000138356.13	0.775	4.690	-1.681	2.29e-47
AP000275.65	ENSG00000265590.9	2.680	0.650	1.157	2.32e-26
AP000439.3	ENSG00000255774.1	1.320	0.000	1.214	7.90e-30
AP000892.6	ENSG00000280143.1	4.595	12.690	-1.291	5.90e-22
AP001065.15	ENSG00000228709.1	1.530	0.260	1.006	5.83e-29
AP003391.1	ENSG00000281272.1	19.070	0.930	3.378	1.52e-20
AP003419.11	ENSG00000256514.1	4.140	19.280	-1.980	1.64e-30
AP1AR	ENSG00000138660.11	11.655	4.920	1.096	7.40e-75
AP1M2	ENSG00000129354.11	69.271	31.421	1.116	1.83e-47
AP1S1	ENSG00000106367.13	40.704	18.430	1.102	1.54e-52
AP1S3	ENSG00000152056.16	11.375	1.350	2.397	9.67e-117
AP2B1	ENSG00000006125.16	75.763	27.899	1.409	1.29e-66
AP3M1	ENSG00000185009.12	25.055	9.870	1.261	1.48e-62
AP5M1	ENSG00000053770.11	18.575	6.600	1.365	5.68e-96
APAF1	ENSG00000120868.13	7.920	3.040	1.143	3.99e-84
APBB1	ENSG00000166313.18	4.825	12.500	-1.213	4.19e-40
APBB1IP	ENSG00000077420.15	7.655	3.110	1.074	2.14e-27
APBB3	ENSG00000113108.17	5.510	24.220	-1.954	2.36e-82
APC	ENSG00000134982.16	6.215	2.200	1.173	5.01e-40
APEX2	ENSG00000169188.4	16.120	5.310	1.440	2.63e-111
API5	ENSG00000166181.12	43.995	19.191	1.156	1.39e-65
APLN	ENSG00000171388.11	2.045	0.360	1.163	3.75e-39
APLNR	ENSG00000134817.10	11.770	1.110	2.597	8.97e-87
APLP1	ENSG00000105290.11	3.770	19.770	-2.122	3.84e-40
APOA1	ENSG00000118137.9	0.820	4.970	-1.714	2.79e-3
APOBEC1	ENSG00000111701.6	1.620	0.070	1.292	3.82e-14
APOBEC2	ENSG00000124701.5	0.345	5.350	-2.239	1.75e-81
APOBEC3B	ENSG00000179750.15	8.505	0.980	2.263	1.16e-69
APOBEC3C	ENSG00000244509.3	22.529	7.580	1.455	3.29e-41
APOBEC3G	ENSG00000239713.7	9.735	3.520	1.248	7.62e-37
APOBR	ENSG00000184730.10	3.415	1.070	1.093	1.82e-47
APOC1	ENSG00000130208.9	78.083	7.790	3.169	1.56e-103
APOC2	ENSG00000234906.8	6.975	0.130	2.819	7.86e-84
APOC4-APOC2	ENSG00000224916.8	9.964	0.270	3.110	4.83e-86
APOD	ENSG00000189058.8	33.083	121.987	-1.851	3.57e-23
APOE	ENSG00000130203.9	191.605	22.841	3.014	6.14e-83
APOL1	ENSG00000100342.20	57.189	17.470	1.656	1.60e-47
APOL6	ENSG00000221963.5	16.670	2.950	2.161	2.35e-111
APP	ENSG00000142192.20	280.371	99.139	1.490	2.04e-50
AQP4	ENSG00000171885.13	0.020	1.800	-1.457	2.85e-85
AQR	ENSG00000021776.10	20.440	8.940	1.109	2.24e-97
ARAP1-AS1	ENSG00000256007.1	1.225	0.000	1.154	6.52e-20
ARCN1	ENSG00000095139.13	88.040	41.821	1.056	1.68e-71
AREG	ENSG00000109321.10	17.060	5.720	1.426	3.99e-17
ARF3	ENSG00000134287.9	80.775	31.161	1.346	2.59e-68
ARF4	ENSG00000168374.10	177.189	78.721	1.160	3.29e-74
ARF6	ENSG00000165527.6	40.065	18.590	1.068	2.67e-71
ARGLU1	ENSG00000134884.13	38.141	98.810	-1.351	3.06e-40
ARHGAP1	ENSG00000175220.11	66.405	32.059	1.028	2.30e-40
ARHGAP11A	ENSG00000198826.10	10.200	0.720	2.703	1.00e-135
ARHGAP11B	ENSG00000187951.10	5.355	1.020	1.654	2.45e-93
ARHGAP23	ENSG00000275832.4	11.355	4.790	1.093	6.11e-8
ARHGAP26	ENSG00000145819.15	13.525	5.100	1.252	3.96e-55
ARHGAP27	ENSG00000159314.11	25.280	11.290	1.096	8.24e-39
ARHGAP32	ENSG00000134909.18	13.225	3.740	1.586	3.86e-66
ARHGAP33	ENSG00000004777.18	3.935	9.690	-1.115	1.45e-27
ARHGAP35	ENSG00000160007.17	17.900	8.090	1.056	9.39e-47
ARHGAP39	ENSG00000147799.11	4.465	1.160	1.339	3.05e-80
ARHGAP5	ENSG00000100852.12	28.335	8.760	1.588	5.18e-66
ARHGAP8	ENSG00000241484.9	14.645	5.390	1.292	5.01e-59
ARHGDIB	ENSG00000111348.8	91.445	34.589	1.377	4.71e-48
ARHGDIG	ENSG00000242173.8	0.740	12.510	-2.957	8.66e-78
ARHGEF25	ENSG00000240771.6	3.715	12.080	-1.472	2.69e-43
ARHGEF26	ENSG00000114790.12	1.720	5.200	-1.189	2.95e-36
ARHGEF28	ENSG00000214944.9	4.405	12.030	-1.270	1.81e-24
ARHGEF3	ENSG00000163947.11	12.345	5.620	1.011	2.98e-46
ARHGEF34P	ENSG00000204959.4	6.140	1.810	1.345	9.00e-43
ARHGEF35	ENSG00000213214.4	9.665	2.690	1.531	1.07e-48
ARHGEF37	ENSG00000183111.11	3.065	13.720	-1.856	1.60e-88
ARID1B	ENSG00000049618.21	17.575	7.310	1.160	1.81e-52
ARID3A	ENSG00000116017.10	7.135	1.870	1.503	4.46e-55
ARID4A	ENSG00000032219.18	11.080	4.620	1.104	2.51e-57
ARID5B	ENSG00000150347.14	13.360	5.400	1.166	1.50e-33
ARIH1	ENSG00000166233.12	39.805	18.350	1.076	4.37e-37
ARL13B	ENSG00000169379.15	4.825	1.600	1.164	2.06e-61
ARL2BP	ENSG00000102931.7	29.095	13.960	1.008	3.29e-39
ARL4C	ENSG00000188042.7	12.260	3.480	1.566	3.22e-60
ARL5A	ENSG00000162980.16	24.860	8.090	1.508	1.85e-90
ARL5B	ENSG00000165997.4	9.205	2.870	1.399	5.90e-74
ARL6IP1	ENSG00000170540.14	145.698	34.139	2.062	5.67e-123
ARL6IP6	ENSG00000177917.10	14.755	6.090	1.152	1.22e-86
ARL8A	ENSG00000143862.7	58.671	22.980	1.315	5.38e-90
ARL8B	ENSG00000134108.12	39.829	18.850	1.040	3.46e-40
ARMC1	ENSG00000104442.9	15.715	6.980	1.067	3.75e-66
ARMC10	ENSG00000170632.13	30.616	13.920	1.083	1.67e-70
ARMCX4	ENSG00000196440.11	1.855	5.390	-1.162	1.03e-56
ARNTL2	ENSG00000029153.14	11.145	2.300	1.880	1.02e-70
ARPC1B	ENSG00000130429.12	196.324	53.541	1.855	2.69e-94
ARPC3	ENSG00000111229.15	286.819	136.835	1.062	3.11e-67
ARPC5	ENSG00000162704.15	130.494	47.251	1.446	6.07e-102
ARPP19	ENSG00000128989.10	43.310	15.550	1.421	9.01e-67
ARSB	ENSG00000113273.15	5.125	1.980	1.039	2.53e-32
ARSE	ENSG00000157399.14	12.275	1.460	2.432	1.10e-67
ASAH1	ENSG00000104763.17	82.905	36.911	1.146	4.43e-61
ASAP1	ENSG00000153317.14	14.455	5.620	1.223	1.83e-43
ASAP2	ENSG00000151693.9	17.715	6.750	1.272	3.44e-59
ASAP3	ENSG00000088280.18	4.495	16.190	-1.645	1.01e-68
ASB11	ENSG00000165192.13	0.010	1.120	-1.070	1.22e-76
ASB7	ENSG00000183475.12	5.210	2.000	1.050	1.22e-74
ASCC3	ENSG00000112249.13	13.160	5.130	1.208	1.16e-83
ASCL2	ENSG00000183734.4	8.575	0.330	2.848	3.11e-67
ASF1B	ENSG00000105011.8	19.499	0.930	3.409	1.68e-142
ASIC3	ENSG00000213199.7	0.770	2.540	-1.000	1.18e-47
ASMTL-AS1	ENSG00000236017.7	2.200	8.180	-1.520	4.97e-41
ASPM	ENSG00000066279.16	6.590	0.240	2.614	4.13e-138
ASPN	ENSG00000106819.11	18.610	2.560	2.462	8.68e-35
ASS1	ENSG00000130707.17	124.806	37.959	1.691	4.23e-35
ASXL2	ENSG00000143970.16	8.010	2.490	1.368	4.06e-80
ATAD1	ENSG00000138138.13	18.740	8.810	1.009	6.29e-45
ATAD2	ENSG00000156802.12	13.100	2.610	1.966	4.46e-105
ATAD5	ENSG00000176208.8	2.110	0.420	1.131	1.17e-76
ATE1	ENSG00000107669.17	12.075	3.640	1.495	2.73e-76
ATF1	ENSG00000123268.8	21.865	7.830	1.373	2.29e-89
ATF2	ENSG00000115966.16	20.805	6.990	1.448	1.15e-75
ATF7IP	ENSG00000171681.12	17.410	5.270	1.554	2.30e-84
ATG16L2	ENSG00000168010.10	7.190	19.271	-1.307	1.97e-48
ATG5	ENSG00000057663.12	19.935	8.630	1.120	9.92e-70
ATIC	ENSG00000138363.14	79.475	29.619	1.394	1.03e-83
ATL3	ENSG00000184743.12	20.165	7.990	1.235	1.95e-29
ATOH8	ENSG00000168874.12	1.220	8.760	-2.136	8.92e-86
ATP10B	ENSG00000118322.12	10.505	0.600	2.846	3.82e-55
ATP11A	ENSG00000068650.18	22.965	4.570	2.105	2.84e-101
ATP13A2	ENSG00000159363.17	39.115	13.850	1.434	3.65e-95
ATP13A3	ENSG00000133657.14	46.208	14.420	1.614	2.23e-94
ATP13A4	ENSG00000127249.14	0.705	5.030	-1.822	7.05e-21
ATP1A2	ENSG00000018625.14	0.440	2.360	-1.222	4.05e-33
ATP1B3	ENSG00000069849.10	95.935	33.920	1.473	7.99e-47
ATP2A2	ENSG00000174437.16	115.515	41.821	1.444	5.00e-83
ATP2B1	ENSG00000070961.14	16.580	6.210	1.286	5.10e-74
ATP2C2	ENSG00000064270.12	9.960	1.060	2.412	1.36e-58
ATP4A	ENSG00000105675.8	0.030	385.502	-8.552	5.57e-104
ATP4B	ENSG00000186009.4	0.040	393.685	-8.568	1.33e-94
ATP5J2	ENSG00000241468.7	583.463	227.843	1.353	4.55e-79
ATP5J2-PTCD1	ENSG00000248919.7	5.510	1.720	1.259	2.44e-51
ATP6AP2	ENSG00000182220.13	75.284	27.110	1.440	1.37e-70
ATP6V0C	ENSG00000185883.10	365.175	126.992	1.516	2.23e-97
ATP6V1A	ENSG00000114573.9	19.120	8.390	1.099	6.95e-64
ATP6V1C1	ENSG00000155097.11	23.380	9.570	1.206	2.37e-72
ATP9A	ENSG00000054793.13	20.810	8.420	1.211	1.91e-46
ATRX	ENSG00000085224.20	27.561	8.600	1.573	5.04e-77
AUNIP	ENSG00000127423.10	2.555	0.310	1.440	6.90e-105
AURKA	ENSG00000087586.17	22.185	1.820	3.039	9.98e-129
AURKB	ENSG00000178999.12	22.635	1.480	3.252	7.01e-114
AVL9	ENSG00000105778.17	14.225	6.070	1.107	4.71e-78
AZGP1	ENSG00000160862.12	21.491	120.709	-2.436	7.75e-14
AZIN1	ENSG00000155096.13	47.960	22.600	1.053	7.90e-62
B2M	ENSG00000166710.17	5878.978	2117.284	1.473	2.46e-49
B3GALT5	ENSG00000183778.17	2.405	0.260	1.434	7.99e-23
