GeneSymbol	GeneID	MediaTumor	MedianNormal	Log2FoldChange	adjp
AC005943.2	ENSG00000267059.2	0.120	1.670	-1.253	1.64e-10
AC005943.6	ENSG00000279009.1	7.180	0.000	3.032	7.30e-11
AC005944.2	ENSG00000267469.1	12.310	2.345	1.993	1.32e-17
AC006116.27	ENSG00000267459.1	0.000	1.845	-1.508	4.34e-17
AC006126.4	ENSG00000267045.1	1.080	4.885	-1.500	2.14e-32
AC006128.2	ENSG00000279716.1	4.640	16.890	-1.665	2.44e-27
AC006449.2	ENSG00000279119.1	6.740	23.585	-1.667	2.43e-23
AC006547.13	ENSG00000236540.7	1.400	3.885	-1.025	3.32e-28
AC007192.6	ENSG00000269145.2	5.150	1.615	1.234	3.18e-16
AC007283.5	ENSG00000234431.2	5.090	0.659	1.876	6.33e-29
AC007326.1	ENSG00000279560.1	0.000	3.560	-2.189	7.99e-46
AC007566.10	ENSG00000244055.1	0.330	2.195	-1.264	8.69e-49
AC008746.5	ENSG00000235681.1	0.000	1.300	-1.202	4.04e-9
AC008993.2	ENSG00000282542.1	0.230	1.520	-1.035	6.63e-36
AC009060.2	ENSG00000280006.1	0.150	2.825	-1.734	1.20e-37
AC009120.3	ENSG00000239763.2	0.400	1.985	-1.092	3.90e-37
AC009237.5	ENSG00000237308.1	1.290	0.000	1.195	1.51e-30
AC009410.1	ENSG00000232023.2	11.210	24.625	-1.070	5.86e-12
AC010980.2	ENSG00000237732.9	1.140	3.795	-1.164	1.03e-16
AC011239.1	ENSG00000224361.1	0.820	4.470	-1.588	2.49e-25
AC011737.2	ENSG00000204196.5	19.650	8.485	1.122	2.03e-23
AC011747.4	ENSG00000236008.1	0.230	1.615	-1.088	2.16e-7
AC012065.1	ENSG00000279307.1	2.610	0.320	1.451	1.43e-57
AC012314.8	ENSG00000237017.1	0.240	2.275	-1.401	2.69e-42
AC013463.2	ENSG00000236283.3	0.260	1.840	-1.172	3.05e-22
AC015849.19	ENSG00000270871.1	0.080	1.395	-1.149	6.82e-51
AC016292.3	ENSG00000108958.4	2.420	0.605	1.091	5.52e-24
AC016734.2	ENSG00000228305.2	2.120	0.540	1.019	2.11e-29
AC016739.2	ENSG00000218175.2	19.020	8.835	1.025	2.65e-18
AC019181.2	ENSG00000233255.1	0.110	1.320	-1.064	2.11e-31
AC019181.3	ENSG00000224331.2	0.220	2.180	-1.382	1.19e-30
AC020571.3	ENSG00000229056.2	0.140	1.410	-1.080	1.57e-9
AC024560.3	ENSG00000214135.8	3.830	11.465	-1.368	1.12e-31
AC064875.2	ENSG00000225649.5	0.090	1.355	-1.111	4.11e-40
AC068580.5	ENSG00000229512.1	0.000	1.280	-1.189	1.13e-19
AC068580.6	ENSG00000235027.1	0.760	2.720	-1.080	1.76e-28
AC072052.7	ENSG00000231359.3	0.000	1.365	-1.242	2.49e-5
AC074117.10	ENSG00000234072.1	1.350	3.960	-1.078	1.62e-27
AC074289.1	ENSG00000225889.7	0.380	2.350	-1.280	2.91e-27
AC079250.1	ENSG00000230979.3	2.700	0.600	1.209	1.63e-36
AC079779.4	ENSG00000228643.1	0.530	2.705	-1.276	7.99e-17
AC079922.2	ENSG00000231747.1	1.440	0.190	1.036	1.10e-45
AC090616.2	ENSG00000214708.4	1.280	3.745	-1.057	4.96e-14
AC092155.4	ENSG00000226622.5	0.000	1.320	-1.214	1.49e-26
AC093110.3	ENSG00000238018.2	0.210	4.485	-2.180	2.21e-75
AC093495.4	ENSG00000228242.6	1.700	4.580	-1.047	2.22e-22
AC093642.3	ENSG00000237940.3	0.140	1.615	-1.198	2.00e-27
AC093642.5	ENSG00000220804.8	1.000	3.085	-1.030	1.60e-26
AC093690.1	ENSG00000223522.1	0.070	1.395	-1.162	9.30e-39
AC093838.4	ENSG00000152117.17	4.870	10.740	-1.000	1.47e-18
AC096772.6	ENSG00000244567.1	3.040	7.235	-1.027	7.99e-20
AC104654.2	ENSG00000234362.5	0.180	1.400	-1.024	1.60e-19
AC110615.1	ENSG00000279909.1	6.510	0.000	2.909	5.97e-21
AC112497.1	ENSG00000279413.1	3.320	1.050	1.075	7.60e-25
AC129492.1	ENSG00000279152.1	0.000	2.000	-1.585	1.72e-21
AC132217.4	ENSG00000240801.1	5394.224	46.691	6.822	1.44e-40
AC137934.1	ENSG00000260923.5	0.700	3.840	-1.509	1.61e-26
AC138035.2	ENSG00000238035.8	0.860	7.599	-2.209	4.46e-59
AC138649.1	ENSG00000277867.1	0.000	4.525	-2.466	6.28e-38
AC159540.1	ENSG00000230606.10	6.520	14.115	-1.007	1.78e-11
ACAA2	ENSG00000167315.17	14.910	65.459	-2.063	2.11e-19
ACACA	ENSG00000278540.4	11.760	24.594	-1.004	6.87e-18
ACACB	ENSG00000076555.15	10.090	24.455	-1.199	2.91e-21
ACAD11	ENSG00000240303.7	5.910	20.549	-1.641	4.20e-39
ACAD8	ENSG00000151498.11	11.140	25.969	-1.152	1.51e-25
ACADL	ENSG00000115361.7	5.330	1.015	1.651	3.24e-11
ACADM	ENSG00000117054.13	29.619	72.348	-1.260	3.94e-10
ACADVL	ENSG00000072778.19	421.123	1217.874	-1.530	5.70e-22
ACAP3	ENSG00000131584.18	16.770	37.125	-1.101	7.90e-21
ACBD4	ENSG00000181513.14	7.280	17.815	-1.184	1.72e-22
ACCS	ENSG00000110455.13	6.630	41.161	-2.466	1.83e-41
ACKR1	ENSG00000213088.9	0.710	6.273	-2.089	1.51e-20
ACKR3	ENSG00000144476.5	5.910	1.910	1.248	9.30e-17
ACO1	ENSG00000122729.18	19.211	49.500	-1.321	2.75e-17
ACOT2	ENSG00000119673.14	19.900	47.520	-1.215	3.09e-13
ACOX2	ENSG00000168306.12	3.710	20.779	-2.209	6.34e-14
ACRC	ENSG00000147174.11	0.490	2.070	-1.043	5.75e-12
ACSBG1	ENSG00000103740.9	0.080	1.500	-1.211	5.77e-18
ACSF2	ENSG00000167107.12	50.579	123.292	-1.269	9.86e-14
ACSL5	ENSG00000197142.10	1.070	3.290	-1.051	7.45e-10
ACSM3	ENSG00000005187.11	15.070	6.585	1.083	7.00e-9
ACSM5	ENSG00000183549.10	0.270	2.220	-1.342	1.41e-27
ACTA1	ENSG00000143632.14	0.070	2.310	-1.629	3.03e-27
ACTA2-AS1	ENSG00000180139.11	0.320	2.725	-1.497	5.39e-33
ACTG2	ENSG00000163017.13	0.710	4.050	-1.562	3.89e-14
ACTN1	ENSG00000072110.13	21.440	44.571	-1.022	9.28e-12
ACTR3	ENSG00000115091.11	46.898	95.229	-1.006	2.14e-8
ACTR3C	ENSG00000106526.10	2.280	7.065	-1.298	9.95e-11
ACVRL1	ENSG00000139567.12	4.340	10.920	-1.158	8.92e-24
ADAM22	ENSG00000008277.14	1.370	4.230	-1.142	2.88e-14
ADAM28	ENSG00000042980.12	0.530	2.525	-1.204	4.27e-23
ADAM33	ENSG00000149451.17	0.120	3.460	-1.994	1.66e-37
ADAM9	ENSG00000168615.11	12.580	26.530	-1.019	1.38e-8
ADAMTS1	ENSG00000154734.14	4.280	20.355	-2.016	2.55e-26
ADAMTS10	ENSG00000142303.13	2.140	22.325	-2.893	1.20e-40
ADAMTS12	ENSG00000151388.10	0.780	2.760	-1.079	2.61e-9
ADAMTS2	ENSG00000087116.13	1.150	8.660	-2.168	2.01e-44
ADAMTSL1	ENSG00000178031.15	1.170	5.440	-1.569	5.55e-20
ADAMTSL2	ENSG00000197859.9	1.170	20.355	-3.299	1.02e-64
ADAMTSL3	ENSG00000156218.12	0.180	1.525	-1.097	1.39e-35
ADAMTSL4	ENSG00000143382.13	1.520	9.845	-2.106	1.97e-34
ADAP2	ENSG00000184060.10	1.620	5.310	-1.268	5.82e-17
ADAT2	ENSG00000189007.15	1.700	6.970	-1.562	4.58e-56
ADCK2	ENSG00000133597.9	17.030	7.920	1.015	9.61e-20
ADCK3	ENSG00000163050.16	40.360	191.406	-2.218	1.93e-17
ADCY4	ENSG00000129467.13	1.470	11.810	-2.375	3.08e-60
ADCY5	ENSG00000173175.14	0.410	2.420	-1.278	2.78e-8
ADCY6	ENSG00000174233.11	9.010	21.785	-1.187	6.62e-21
ADCY7	ENSG00000121281.12	0.670	3.875	-1.546	2.11e-31
ADGRE2	ENSG00000127507.17	0.340	1.805	-1.066	5.60e-21
ADGRF5	ENSG00000069122.18	4.150	11.025	-1.223	3.72e-21
ADGRL2	ENSG00000117114.19	7.290	20.930	-1.404	1.79e-14
ADGRV1	ENSG00000164199.15	2.810	94.532	-4.648	3.02e-39
ADH1B	ENSG00000196616.12	1.440	81.744	-5.084	8.87e-48
ADHFE1	ENSG00000147576.15	2.930	13.460	-1.879	2.58e-31
ADIRF-AS1	ENSG00000272734.1	3.310	14.865	-1.880	3.20e-28
ADORA3	ENSG00000121933.17	2.200	9.015	-1.646	1.04e-17
ADPRH	ENSG00000144843.11	1.810	5.540	-1.219	3.09e-24
ADPRHL1	ENSG00000153531.12	0.760	2.960	-1.170	8.70e-12
ADRBK2	ENSG00000100077.14	0.720	2.450	-1.004	1.83e-27
AEBP1	ENSG00000106624.8	7.920	62.680	-2.836	1.41e-35
AF127577.10	ENSG00000229047.1	20.990	7.055	1.449	1.72e-21
AFF1	ENSG00000172493.20	6.020	14.735	-1.164	8.08e-19
AFG3L1P	ENSG00000223959.8	6.290	16.545	-1.267	8.32e-35
AGAP4	ENSG00000188234.13	4.830	11.995	-1.156	4.86e-27
AGAP5	ENSG00000172650.12	1.750	6.330	-1.414	2.99e-38
AGAP9	ENSG00000204172.11	3.120	9.710	-1.378	6.54e-23
AGBL2	ENSG00000165923.15	0.580	3.195	-1.409	2.60e-28
AGO4	ENSG00000134698.10	1.300	5.730	-1.549	1.05e-47
AGRP	ENSG00000159723.4	41.151	7.919	2.241	1.68e-11
AGTR1	ENSG00000144891.17	10.040	29.975	-1.488	9.01e-13
AHI1	ENSG00000135541.20	5.270	17.440	-1.556	1.17e-35
AHNAK	ENSG00000124942.13	8.300	25.015	-1.484	1.81e-16
AHSA2	ENSG00000173209.22	13.920	91.724	-2.636	1.49e-53
AIF1	ENSG00000204472.12	13.590	28.973	-1.039	2.30e-5
AIF1L	ENSG00000126878.12	11.410	3.370	1.506	1.61e-15
AK4	ENSG00000162433.14	3.110	0.710	1.265	4.04e-16
AKAP12	ENSG00000131016.16	0.980	6.635	-1.947	1.04e-29
AKAP17A	ENSG00000197976.10	16.160	34.795	-1.061	1.86e-19
AKAP7	ENSG00000118507.15	13.620	36.805	-1.371	7.00e-14
AKR1B1	ENSG00000085662.13	876.432	2900.527	-1.725	2.49e-15
AKR1B10	ENSG00000198074.9	0.670	4.079	-1.605	9.64e-12
AKR1C2	ENSG00000151632.16	3.130	8.905	-1.262	7.49e-3
AKR7A3	ENSG00000162482.4	0.640	2.885	-1.244	2.96e-29
AKT3	ENSG00000117020.16	3.830	9.230	-1.083	1.04e-14
AL132709.8	ENSG00000232018.4	0.400	1.935	-1.068	2.14e-18
AL158801.1	ENSG00000279392.1	3.560	0.420	1.683	9.36e-49
AL162151.3	ENSG00000234648.1	50.860	278.348	-2.429	1.19e-7
AL442127.1	ENSG00000278371.2	0.000	17.480	-4.208	9.38e-23
AL513523.2	ENSG00000279767.1	19.490	8.835	1.059	2.75e-8
ALAD	ENSG00000148218.15	41.501	169.741	-2.006	8.01e-21
ALAS1	ENSG00000023330.14	112.391	464.214	-2.037	1.09e-22
ALB	ENSG00000163631.16	0.550	2.234	-1.061	2.01e-5
ALCAM	ENSG00000170017.12	2.580	6.340	-1.036	1.51e-8
ALDH1A1	ENSG00000165092.12	11.100	99.249	-3.051	8.14e-18
ALDH1A3	ENSG00000184254.16	0.610	8.460	-2.555	1.26e-30
ALDH1L1	ENSG00000144908.13	7.090	30.474	-1.960	2.55e-14
ALDH3A2	ENSG00000072210.18	69.502	177.361	-1.339	1.16e-20
ALDH3B1	ENSG00000006534.15	7.160	22.275	-1.512	1.34e-16
ALDOC	ENSG00000109107.13	73.511	17.485	2.011	3.92e-19
ALKBH7	ENSG00000125652.7	96.562	47.720	1.002	2.70e-20
ALOX15B	ENSG00000179593.15	0.280	1.675	-1.063	1.85e-12
ALOX5	ENSG00000012779.10	1.180	12.699	-2.652	5.20e-45
ALOX5AP	ENSG00000132965.9	4.050	21.953	-2.184	6.51e-21
ALPK3	ENSG00000136383.6	0.470	6.660	-2.381	3.41e-40
ALPL	ENSG00000162551.13	20.820	63.421	-1.562	9.54e-10
ALS2CL	ENSG00000178038.16	0.760	7.650	-2.297	2.01e-45
AMDHD1	ENSG00000139344.7	1.740	8.328	-1.767	1.95e-22
AMH	ENSG00000104899.5	2.560	0.345	1.404	2.16e-21
AMICA1	ENSG00000160593.17	0.710	2.435	-1.006	3.63e-7
AMIGO1	ENSG00000181754.6	3.910	9.130	-1.045	2.34e-13
AMOTL2	ENSG00000114019.14	3.500	9.230	-1.185	2.02e-11
AMPD3	ENSG00000133805.15	4.050	18.600	-1.956	1.70e-25
AMT	ENSG00000145020.14	1.970	26.874	-3.230	1.19e-56
AMY2A	ENSG00000243480.7	0.000	1.060	-1.043	1.18e-22
AMY2B	ENSG00000240038.6	5.640	19.045	-1.594	6.21e-28
ANAPC4	ENSG00000053900.10	7.650	19.310	-1.231	3.31e-28
ANGEL1	ENSG00000013523.9	7.220	16.690	-1.106	4.73e-22
ANGPT2	ENSG00000091879.13	4.350	0.190	2.169	3.05e-47
ANGPTL1	ENSG00000116194.12	1.120	26.150	-3.679	5.05e-31
ANGPTL2	ENSG00000136859.9	17.111	6.425	1.286	3.18e-18
ANGPTL4	ENSG00000167772.11	5.380	13.130	-1.147	1.09e-6
ANGPTL7	ENSG00000171819.4	0.000	1.400	-1.263	3.41e-29
ANK2	ENSG00000145362.16	3.130	10.235	-1.444	4.69e-18
ANKFY1	ENSG00000185722.16	5.770	17.755	-1.470	1.71e-32
ANKRD10	ENSG00000088448.14	25.189	54.664	-1.088	5.43e-25
ANKRD10-IT1	ENSG00000229152.2	1.270	5.860	-1.596	2.32e-48
ANKRD23	ENSG00000163126.14	0.850	2.705	-1.002	1.07e-35
ANKRD53	ENSG00000144031.11	0.240	1.890	-1.221	3.36e-31
ANKS1A	ENSG00000064999.13	3.430	15.555	-1.902	1.39e-43
ANKZF1	ENSG00000163516.13	14.150	33.130	-1.172	7.33e-23
ANLN	ENSG00000011426.10	5.910	0.845	1.905	4.30e-26
ANO7P1	ENSG00000237276.8	0.960	4.175	-1.401	2.56e-36
ANPEP	ENSG00000166825.13	0.760	8.070	-2.366	6.00e-27
ANTXR1	ENSG00000169604.19	16.979	38.634	-1.140	8.83e-21
ANTXR2	ENSG00000163297.16	12.520	27.327	-1.067	3.65e-11
ANXA3	ENSG00000138772.12	0.430	2.145	-1.137	5.87e-8
AOC3	ENSG00000131471.6	9.110	38.141	-1.953	1.71e-8
AOX1	ENSG00000138356.13	38.940	294.545	-2.887	3.88e-30
AOX3P	ENSG00000244301.5	0.110	1.985	-1.427	2.55e-36
AP000347.2	ENSG00000272578.5	0.720	3.340	-1.335	1.45e-37
AP000347.4	ENSG00000234353.2	0.940	5.465	-1.736	2.25e-30
AP000473.5	ENSG00000228798.1	0.160	1.780	-1.261	7.63e-33
AP000580.1	ENSG00000219529.2	1.820	5.755	-1.260	7.17e-22
AP000783.1	ENSG00000254667.2	10.320	49.494	-2.157	2.54e-18
AP000892.6	ENSG00000280143.1	1.200	8.404	-2.096	3.59e-48
AP001189.4	ENSG00000236304.1	0.060	1.355	-1.152	2.69e-54
AP006621.5	ENSG00000255284.1	2.490	6.100	-1.025	2.84e-20
AP1G2	ENSG00000213983.11	26.880	61.935	-1.175	1.14e-14
AP1S1	ENSG00000106367.13	71.209	28.515	1.291	2.51e-19
AP3B2	ENSG00000103723.12	0.820	2.995	-1.134	1.38e-15
APBB1IP	ENSG00000077420.15	0.780	3.960	-1.478	2.05e-22
APBB3	ENSG00000113108.17	23.079	61.984	-1.387	3.94e-24
APCDD1	ENSG00000154856.12	5.270	12.780	-1.136	1.52e-3
APLP1	ENSG00000105290.11	14.480	2.430	2.174	9.98e-6
APOBEC3B	ENSG00000179750.15	7.450	0.985	2.090	7.88e-23
APOBEC3G	ENSG00000239713.7	2.260	9.605	-1.702	1.45e-23
APOC1	ENSG00000130208.9	215.567	1640.818	-2.922	1.52e-17
APOC1P1	ENSG00000214855.9	1.130	10.485	-2.431	1.41e-17
APOD	ENSG00000189058.8	5.190	29.640	-2.307	3.34e-18
APOE	ENSG00000130203.9	891.319	2834.148	-1.668	7.40e-9
APOL1	ENSG00000100342.20	5.690	12.715	-1.036	8.39e-5
APOL3	ENSG00000128284.19	4.510	16.185	-1.641	3.26e-29
APOLD1	ENSG00000178878.12	6.240	2.190	1.182	2.74e-10
AQP11	ENSG00000178301.3	4.420	10.475	-1.082	7.32e-13
ARAP1	ENSG00000186635.14	31.760	69.540	-1.106	6.98e-15
ARAP1-AS1	ENSG00000256007.1	12.730	0.000	3.779	2.23e-16
ARFGAP3	ENSG00000242247.10	24.401	65.974	-1.399	1.61e-23
ARFGEF2	ENSG00000124198.8	7.290	16.975	-1.117	3.91e-14
ARGLU1	ENSG00000134884.13	20.110	96.251	-2.204	1.22e-50
ARHGAP21	ENSG00000107863.16	10.510	29.471	-1.405	5.05e-25
ARHGAP27	ENSG00000159314.11	2.680	8.640	-1.389	9.90e-33
ARHGAP30	ENSG00000186517.13	0.780	3.820	-1.437	6.75e-26
ARHGAP32	ENSG00000134909.18	1.890	5.815	-1.238	1.79e-23
ARHGAP4	ENSG00000089820.15	8.310	24.840	-1.473	2.50e-13
ARHGAP9	ENSG00000123329.17	2.050	8.755	-1.677	5.07e-27
ARHGEF10	ENSG00000104728.15	4.070	10.045	-1.123	1.77e-23
ARHGEF10L	ENSG00000074964.16	4.980	13.000	-1.227	8.40e-25
ARHGEF17	ENSG00000110237.3	3.050	11.940	-1.676	2.11e-32
ARHGEF25	ENSG00000240771.6	3.000	9.765	-1.428	2.33e-17
ARHGEF28	ENSG00000214944.9	5.900	23.670	-1.838	9.37e-29
ARHGEF5	ENSG00000050327.14	0.190	2.060	-1.362	2.58e-18
ARHGEF7	ENSG00000102606.17	9.050	23.855	-1.306	4.83e-36
ARL17A	ENSG00000185829.15	2.160	6.055	-1.159	6.58e-34
ARMC9	ENSG00000135931.17	8.140	19.835	-1.189	2.14e-17
ARMCX4	ENSG00000196440.11	3.470	13.605	-1.708	1.55e-38
ARMCX7P	ENSG00000204072.3	21.170	2.655	2.601	2.11e-18
ARNT	ENSG00000143437.20	6.220	18.990	-1.469	7.30e-29
ARNTL	ENSG00000133794.17	6.130	13.460	-1.020	1.82e-17
ARPC4-TTLL3	ENSG00000250151.9	2.720	8.809	-1.399	1.13e-25
ARRB1	ENSG00000137486.16	1.990	5.495	-1.119	3.39e-15
ARRB2	ENSG00000141480.17	11.420	47.339	-1.961	3.78e-40
AS3MT	ENSG00000214435.7	73.439	256.817	-1.792	3.27e-18
ASF1B	ENSG00000105011.8	8.160	1.150	2.091	1.89e-34
ASH1L	ENSG00000116539.10	3.980	9.680	-1.101	1.72e-25
ASMTL-AS1	ENSG00000236017.7	4.280	28.924	-2.503	5.04e-49
ASTN1	ENSG00000152092.15	4.430	11.855	-1.243	3.32e-9
ATAD3B	ENSG00000160072.19	6.390	14.590	-1.077	1.84e-20
ATAT1	ENSG00000137343.17	3.410	7.970	-1.024	5.06e-27
ATF7IP2	ENSG00000166669.13	9.270	43.385	-2.112	2.71e-33
ATG16L2	ENSG00000168010.10	5.460	28.045	-2.169	3.43e-52
ATG2B	ENSG00000066739.11	2.560	7.345	-1.229	1.56e-25
ATHL1	ENSG00000142102.15	1.750	8.955	-1.856	2.15e-30
ATM	ENSG00000149311.17	5.160	13.730	-1.258	1.18e-22
ATP10A	ENSG00000206190.11	0.330	6.000	-2.396	2.16e-20
ATP11A	ENSG00000068650.18	3.170	13.260	-1.774	8.69e-40
ATP1A1-AS1	ENSG00000203865.9	1.070	3.630	-1.161	2.17e-27
ATP1A3	ENSG00000105409.15	2.730	0.200	1.636	2.29e-6
ATP1B2	ENSG00000129244.8	2.380	6.665	-1.181	1.91e-8
ATP6V1F	ENSG00000128524.4	283.046	131.748	1.097	8.49e-25
ATP8A1	ENSG00000124406.16	3.800	9.960	-1.191	4.52e-16
ATP8B1	ENSG00000081923.10	1.550	4.600	-1.135	3.09e-22
ATP8B2	ENSG00000143515.16	3.150	9.215	-1.300	4.09e-22
ATRNL1	ENSG00000107518.16	1.750	7.945	-1.702	1.31e-17
ATRX	ENSG00000085224.20	5.610	12.350	-1.014	1.22e-15
AURKA	ENSG00000087586.17	7.040	1.660	1.596	1.65e-26
AURKB	ENSG00000178999.12	4.190	1.585	1.006	7.04e-9
AVIL	ENSG00000135407.10	2.720	8.710	-1.384	5.58e-16
AVPR1A	ENSG00000166148.3	0.410	18.610	-3.798	7.79e-40
AXIN2	ENSG00000168646.12	2.910	9.365	-1.407	1.01e-13
AXL	ENSG00000167601.11	2.330	11.210	-1.875	1.43e-37
AZI2	ENSG00000163512.13	13.120	31.520	-1.204	3.72e-20
AZIN2	ENSG00000142920.16	2.460	6.525	-1.121	1.97e-16
B3GALNT2	ENSG00000162885.12	2.180	6.259	-1.191	8.07e-15
B3GALT4	ENSG00000235863.3	3.170	7.950	-1.102	2.28e-11
B3GNT7	ENSG00000156966.6	2.270	9.085	-1.625	7.51e-18
B3GNT8	ENSG00000177191.2	4.000	1.110	1.245	1.73e-12
B4GALNT3	ENSG00000139044.10	3.800	10.020	-1.199	1.73e-13
B4GALT6	ENSG00000118276.11	2.000	9.865	-1.857	3.31e-32
BAHCC1	ENSG00000266074.8	1.120	9.495	-2.308	2.98e-41
BANK1	ENSG00000153064.11	0.940	3.435	-1.193	2.63e-7
BATF2	ENSG00000168062.9	0.870	3.405	-1.236	3.13e-18
BAZ2A	ENSG00000076108.11	16.160	36.354	-1.122	1.59e-14
BAZ2B	ENSG00000123636.17	5.410	17.300	-1.513	1.21e-30
BBS1	ENSG00000174483.19	10.230	21.529	-1.004	2.84e-13
BBS4	ENSG00000140463.13	7.890	17.840	-1.084	6.24e-23
BCAT1	ENSG00000060982.14	0.770	2.655	-1.046	4.05e-10
BCL2L10	ENSG00000137875.4	0.400	2.395	-1.278	1.97e-14
BCL2L2-PABPN1	ENSG00000258643.5	1.270	4.525	-1.283	4.01e-9
BCL6	ENSG00000113916.17	7.750	51.294	-2.579	2.79e-47
BCL9L	ENSG00000186174.12	4.760	30.314	-2.443	7.58e-37
BCO2	ENSG00000197580.11	13.300	36.410	-1.387	3.20e-8
BEGAIN	ENSG00000183092.15	0.190	1.580	-1.116	1.99e-17
BEST1	ENSG00000167995.15	0.790	3.075	-1.187	4.34e-21
BEX1	ENSG00000133169.5	85.882	6.875	3.464	1.09e-10
BGN	ENSG00000182492.15	69.458	161.321	-1.204	2.47e-13
BHLHE40-AS1	ENSG00000235831.6	0.220	2.025	-1.310	6.34e-33
BHMT2	ENSG00000132840.9	1.250	19.490	-3.187	1.08e-38
BICC1	ENSG00000122870.11	0.980	2.970	-1.004	1.41e-16
BIN2	ENSG00000110934.10	0.840	2.710	-1.012	5.36e-17
BIRC5	ENSG00000089685.14	4.480	0.845	1.571	1.13e-13
BIRC7	ENSG00000101197.12	14.610	0.220	3.678	4.85e-27
BIVM	ENSG00000134897.13	3.830	9.650	-1.141	7.51e-28
BLOC1S1	ENSG00000135441.7	334.693	146.997	1.182	3.00e-28
BLVRB	ENSG00000090013.9	134.848	66.445	1.010	4.87e-11
BMP1	ENSG00000168487.17	8.860	38.350	-1.997	2.06e-23
BMS1P20	ENSG00000236850.4	0.830	2.865	-1.079	5.17e-38
BMS1P4	ENSG00000271816.1	0.380	1.835	-1.039	7.29e-36
BOC	ENSG00000144857.14	1.400	4.580	-1.217	2.67e-24
BOK	ENSG00000176720.4	1.710	6.700	-1.507	6.06e-9
BOLA2	ENSG00000183336.7	12.690	5.545	1.065	9.10e-13
BOLA2B	ENSG00000169627.7	129.579	41.800	1.609	8.53e-35
BRE	ENSG00000158019.20	40.391	299.320	-2.859	1.65e-30
BRINP2	ENSG00000198797.6	0.960	9.455	-2.415	1.78e-21
BRIX1	ENSG00000113460.12	28.919	13.770	1.018	1.11e-15
BSG	ENSG00000172270.18	1108.735	513.492	1.109	4.13e-18
BSPRY	ENSG00000119411.10	0.270	3.110	-1.694	3.17e-32
BTAF1	ENSG00000095564.13	3.420	11.480	-1.497	6.18e-35
BTBD11	ENSG00000151136.14	1.940	0.300	1.177	2.33e-22
BTBD19	ENSG00000222009.8	4.240	17.555	-1.824	4.47e-31
BTK	ENSG00000010671.15	0.750	3.215	-1.268	2.10e-22
BTN2A3P	ENSG00000124549.14	1.250	4.140	-1.192	1.07e-36
BTN3A1	ENSG00000026950.16	8.650	19.800	-1.108	8.18e-19
BTN3A3	ENSG00000111801.15	8.670	19.505	-1.084	1.80e-15
BTNL9	ENSG00000165810.16	3.920	13.965	-1.605	5.99e-23
BUB1	ENSG00000169679.14	2.230	0.380	1.227	1.55e-22
BX322557.10	ENSG00000215447.7	0.780	3.395	-1.304	1.92e-27
BZRAP1	ENSG00000005379.15	8.080	26.866	-1.618	3.59e-28
C10orf10	ENSG00000165507.8	8.640	29.098	-1.643	7.70e-15
C10orf35	ENSG00000171224.8	9.490	2.650	1.523	3.27e-19
C10orf82	ENSG00000165863.16	16.130	2.145	2.445	5.63e-10
C11orf45	ENSG00000174370.9	0.260	2.575	-1.505	5.45e-31
C11orf54	ENSG00000182919.14	4.880	19.710	-1.816	5.66e-32
